,Project Name,Approved Budget,Start Date,End Date,Name Of Awarded Company,Amount Awarded,Date Of Award,Acceptance Date,Procuring Entity,Money Ratio,Category,,,
6996,Supply of Medicines and protective materials,136236.1,20/04/2020,27/04/2020,ROAM-MEDICA ENTERPRISES,123851,16/04/2020,17/04/2020,"Local Government Unit- San Clemente, Tarlac",0.909090909,Not classified,,,
6997,PROCUREMENT OF ICT EQUIPMENT AND PERIPHERALS,140000,16/07/2020,14/08/2020,CYBER LINK COMPU SALES,123800,19/06/2020,19/06/2020,CENTER FOR HEALTH DEVELOPMENT - REGION VI,0.884285714,Not classified,,,
6998,"1,237 PAX MEALS TO BE SERVED FOR COVID-19 FRONTLINERS & WORKFORCE",560000,22/05/2020,22/05/2020,PIZZAIOLOGY PIZZERIA,123700,22/05/2020,23/05/2020,CITY GOVERNMENT OF KORONADAL,0.220892857,Not classified,,,
6999,Procurement of Acrylic Partition,200000,26/06/2020,22/08/2020,AGF Elitgroup Distribution Inc.,123697,26/06/2020,26/06/2020,CIVIL SERVICE COMMISSION REGION XI,0.618485,Not classified,,,
7000,Supply and delivery of various supplies for operation of COVID isolation and quarantine facilities at Guiuan Gymnasium,125332,20/05/2020,21/05/2020,GME-MPC,123571,21/05/2020,21/05/2020,LGU-Guiuan,0.985949319,Not classified,,,
7001,Procurement of Grocery Items,1249870,09/06/2020,09/06/2020,MCR Store,123540,08/06/2020,08/06/2020,Municipality of Kalawit,0.09884228,Not classified,,,
7002,Internet Cafe use for Online Enrollment,649000,01/06/2020,14/07/2020,COMPUSPEC SALES AND SERVICES,123500,01/06/2020,15/06/2020,SOUTHERN LEYTE STATE UNIVERSITY,0.190292758,Not classified,,,
7003,Procurement of Television Sets under P.R No. 1622-2020-Bayanihan Grant for Cities/Municipality,123480,27/04/2020,04/05/2020,Desmark Corp.,123435,23/04/2020,23/04/2020,City Government of Butuan,0.999635569,Not classified,,,
7004,SUPPLY AND DELIVERY OF VARIOUS CONSTRUCTION MATERIALS/SUPPLIES,123322,13/05/2020,18/05/2020,"LIBERTY AND SON'S LA UNION,INC",123322,05/05/2020,09/05/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,1,Not classified,,,
7005,Various Equipment,122950,09/06/2020,26/06/2020,Genruz Const. & Supplies,122950,09/06/2020,26/06/2020,City Government of Cadiz,1,Not classified,,,
7006,Procurement of Power spray gasoline etc.,122850,23/04/2020,01/05/2020,F.E.G GENERAL MERCHANDISE,122850,07/04/2020,23/04/2020,Provincial Government of Agusan del Sur,1,Not classified,,,
7007,PROCUREMENT OF FACE MASK AS PART OF FOOD PACKS UNDER COMPONENT 4 OF ARBOLD,122824,12/05/2020,15/05/2020,NICODEMUS-NIC EXCLUSIVE APPAREL,122824,12/05/2020,14/07/2020,Department of Agrarian Reform Camarines Sur 1,1,Not classified,,,
7008,Meals for Relief Operation re: COVID-19,123690,17/03/2020,22/03/2020,LILEI'S CATERING SERVICES,122760,17/03/2020,22/03/2020,Local Government Unit - Santa Rosa,0.992481203,Not classified,,,
7009,Medical Supplies,938498,16/06/2020,13/07/2020,The Procurement Service,122650,18/06/2020,14/07/2020,DOH - Davao Center for Health Development,0.130687545,Not classified,,,
7010,Supply & Delivery of Food Supplies for Distribution (COVID-19),122589,11/05/2020,11/05/2020,GUIRUELA'S MEAT AND FROZEN PRODUCTS STORE,122589,08/05/2020,08/05/2020,"MUNICIPALITY OF LOPEZ, QUEZON",1,Not classified,,,
7011,Purchase of Medical Supplies in Preparation for the COVID 2019,122500,21/04/2020,21/04/2020,WILLIAMS PHARMA,122500,21/04/2020,21/04/2020,City of Victorias,1,Not classified,,,
7012,Establishment of Quarantine Facility - Labor (Pakyaw Contract),123604,12/05/2020,26/05/2020,Elmer Pagunsan,122500,11/05/2020,11/05/2020,LGU TOBIAS FORNIER,0.99106825,Not classified,,,
7013,"NNP-2020-IV-22-10-Examination Gloves, Face Shields & Head caps",122500,22/04/2020,09/05/2020,Gracian General Merchant,122500,22/04/2020,28/04/2020,Local Government Unit of Sibalom,1,Not classified,,,
7014,400 Boxes Face Masks (Surgical Masks),122400,22/06/2020,10/07/2020,O5 Tactical Apparel and General Merchandise,122400,22/06/2020,22/06/2020,City Government of Tacurong,1,Not classified,,,
7015,OFFICE SUPPLIES & CONSUMABLES FOR THE USE OF CGSO - COVID 19 OUTBREAK,122470,22/06/2020,07/07/2020,GE GENERAL MERCHANDISE,122370,22/06/2020,22/06/2020,LGU Tagum City,0.999183474,Not classified,,,
7016,Procurement of Public Health Emergency Response,170514,29/05/2020,19/06/2020,TSB Bazaar,122306.16,27/05/2020,29/05/2020,"LGU - Bokod, Benguet",0.717279285,Not classified,,,
7017,Procurement of Evaporative Air Cooler to Ventilate the Isolation Facilities,150000,28/05/2020,31/05/2020,CITIHARDWARE DUMAGUETE,122283.05,31/05/2020,31/05/2020,Municipality of Santa Catalina,0.815220333,Not classified,,,
7018,UNIVERSAL VIRAL TRANSPORT MEDIUM KIT,122280,14/05/2020,22/05/2020,PATIENT CARE CORPORATION,122280,22/05/2020,22/05/2020,VETERANS MEMORIAL MEDICAL CENTER,1,Not classified,,,
7019,"Indicator, dry steam sterilization, biological (Geobacillus stearothermophilus spores), self-contained spore carrier and bacteriological medium with chemical indicator, 24 mins read-out time, meets AN",122400,23/06/2020,23/07/2020,PATIENT CARE CORPORATION,122144.4,15/04/2020,15/04/2020,Research Institute for Tropical Medicine (RITM-DOH),0.997911765,Not classified,,,
7020,Procurement of 21 pcs foot operated alcohol dispencer to be installed at the entrance of City Government owned buildings,122010,23/06/2020,29/06/2020,JONIK TRADING & CONSTRUCTION,122010,23/06/2020,26/06/2020,"LGU City of Alaminos, Pangasinan",1,Not classified,,,
7021,Procurement of additional 122 sacks commercial rice,122000,28/04/2020,30/04/2020,JEM & FERDS GE. MERCHANDIZE,122000,28/04/2020,30/04/2020,"LGU City of Alaminos, Pangasinan",1,Not classified,,,
7022,Supply and Delivery of 70% Solution Ethyl Alochol,121900,14/05/2020,23/05/2020,INTERNATIONAL PHARMACEUTICALS INCORPORATED,121900,06/05/2020,22/05/2020,DPWH CEBU 3RD DISTRICT ENGINEERING OFFICE,1,Not classified,,,
7023,Purchase of Medical Device (Instruments),158800,18/06/2020,03/07/2020,Medical Center Trading Corporation,121570,17/06/2020,17/06/2020,City Government of Antipolo,0.765554156,Not classified,,,
7024,Purchase of various medical supplies,128450,09/06/2020,11/06/2020,Murex Diagnostic Products Specialist,121568.74,09/06/2020,09/06/2020,Municipal Government of Moncada,0.946428494,Not classified,,,
7025,"CONSTRUCTION MATERIALS & SUPPLIES FOR THE USE OF CMO (CONSTRUCTION OF INFECTIOUS DISEASE ISOLATION FACILITY AT BRGY. CANOCOTAN, TAGUM CITY)",153340,14/04/2020,24/04/2020,GOLDEN GLASS AND ALUMINUM SUPPLY,121502.1,14/04/2020,14/04/2020,LGU Tagum City,0.792370549,Not classified,,,
7026,Food Assistance to LGU Personnel Directly Involved in the Implementation of Covid-19,121500,16/04/2020,01/05/2020,Creek Traveller Cottages,121500,16/04/2020,16/04/2020,LGU Catarman,1,Not classified,,,
7027,Purchase of Additional Welfare Goods (Wave 5) for Covid 19 Prevention & Mitigation  Prevention,146840,17/06/2020,19/06/2020,Eastern Tanay Supermarket Inc.,121382,17/06/2020,19/06/2020,"Municipality of Tanay, Rizal",0.826627622,Not classified,,,
7028,SUPPLY AND DELIVERY OF CONSTRUCTION MATERIALS FOR THE CONSTRUCTION OF COMFORT ROOM FOR COVID 19 FONTLINERS AT NAGUILIAN EVACUATION CENTER,121100,27/05/2020,28/05/2020,CAMBERWELL CONSTRUCTION AND SUPPLIES,121100,26/05/2020,28/05/2020,"MUNICIPALITY OF NAGUILIAN, ISABELA",1,Not classified,,,
7029,"Purchase of Propylene Glycol, etc for animal health",121000,15/05/2020,05/06/2020,Batangas Dairy Farm Tech. Inc.,121000,15/05/2020,18/05/2020,National Dairy Authority,1,Not classified,,,
7030,Supply and delivery of various Covid-19 Reponse Items,165657.2,30/04/2020,04/05/2020,PROCUREMENT SERVICE,120754.4,30/04/2020,04/05/2020,COOPERATIVE DEVELOPMENT AUTHORITY,0.728941453,Not classified,,,
7031,Procurement of Sodium Ascorbate,120600,23/04/2020,24/04/2020,Raphamed Pharmacy,120600,23/04/2020,24/04/2020,City Government of Baguio,1,Not classified,,,
7032,Purchase of Vitamins to be Distributed to all Frontliners during Combat Operation Against COVID-19,135000,25/06/2020,10/07/2020,OXFORD DISTRIBUTIONS INC.,120500,25/06/2020,10/07/2020,"MUNICIPALITY OF MOLAVE, ZAMBOANGA DEL SUR",0.892592593,Not classified,,,
7033,Purchase of Vitamins Supplement to be Distributed to COVID-19 Frontliners,135000,10/06/2020,15/06/2020,OXFORD DISTRIBUTION INC.,120500,10/06/2020,15/06/2020,"MUNICIPALITY OF MOLAVE, ZAMBOANGA DEL SUR",0.892592593,Not classified,,,
7034,"1,720 PAX MEALS TO BE SERVED FOR COVID-19 FRONTLINERS & WORKFORCE",525000,05/05/2020,05/05/2020,PIZZAIOLOGY PIZZERIA,120400,05/05/2020,06/05/2020,CITY GOVERNMENT OF KORONADAL,0.229333333,Not classified,,,
7035,Purchase of Welfare Goods (Sardines and Noodles),120750,28/03/2020,30/03/2020,Siltos Mart & General Merchandise,120150,29/03/2020,29/03/2020,"Municipal Government of Calatagan, Batangas",0.995031056,Not classified,,,
7036,Procurement of Meals and Snacks for the Frontliners,162000,15/05/2020,30/05/2020,M. Moreno Lodge & Restaurant,120000,15/05/2020,22/05/2020,PROVINCIAL GOVERNMENT OF AURORA,0.740740741,Not classified,,,
7037,PROVISION OF MEALS FOR THE BRTTH-HEMS RESPONDERS FOR THEIR COVID-19 OPERATIONS,120000,16/05/2020,31/05/2020,LAYAG RESTAURANT AND GRILL,120000,15/05/2020,15/05/2020,Office of Civil Defense 5,1,Not classified,,,
7038,Provision of Room Accommodation for Covid19  CVMC Personnel (Quarantine Facility),120000,26/03/2020,30/07/2020,CITY REST INN,120000,26/03/2020,26/03/2020,LGU TUGUEGARAO,1,Not classified,,,
7039,"Purchase of single bed with foam, beddings, extra pillow, chair with arm rest and bedside table",127000,20/04/2020,23/04/2020,Sophie's General Merchandise,120000,14/04/2020,14/04/2020,"LGU-Labo, Camarines Norte",0.94488189,Not classified,,,
7040,Procurement of Cover all Suit,120000,04/05/2020,04/05/2020,Gameville Corporation,120000,04/05/2020,04/05/2020,Baguio Water District,1,Not classified,,,
7041,PROCUREMENT OF MICROCENTRIFUGE,120000,14/07/2020,14/09/2020,"MOLAVE TRADING, INC.",120000,11/06/2020,23/06/2020,CENTER FOR HEALTH DEVELOPMENT - REGION VI,1,Not classified,,,
7042,Disinfection of DTI Buildings and warehouse,120000,21/03/2020,22/03/2020,D Three Pest Management Services,120000,20/03/2020,22/03/2020,Department of Trade and Industry - Main,1,Not classified,,,
7043,MEDICAL AND SURGICAL SUPPLIES,120000,17/06/2020,30/06/2020,TLC HEALTH AND WELLNESS CENTER,120000,17/06/2020,18/06/2020,VICENTE SOTTO MEMORIAL MEDICAL CENTER,1,Not classified,,,
7044,"Procurement of Disinfectants, Sprayers and Other Disinfecting Supplies and Misting Equipment",125000,18/06/2020,24/06/2020,DELCA SYSTEMS TECHNOLOGY,120000,18/06/2020,18/06/2020,"MUNICIPALITY OF PANGLAO, BOHOL",0.96,Not classified,,,
7045,Purchase of additional Thermal Scanner to be used in Different Public Places & Government Building during the the COVID 19 Pandemic,120000,27/04/2020,27/04/2020,By Faith Enterprises,120000,27/04/2020,27/04/2020,"Local Government of Cabugao, Ilocos Sur",1,Not classified,,,
7046,"Milled Rice for the Project ""Science-based Emergency Assistance Project in Response to COVID-19 Criris in Ilocos Norte",120000,04/05/2020,13/05/2020,Piddig Basi Multipurpose Cooperative,120000,18/05/2020,20/06/2020,Mariano Marcos State University,1,Not classified,,,
7047,Purchase of Face Shield with Helmet,120000,30/03/2020,02/04/2020,EC PHARMA TRADING,120000,01/04/2020,03/04/2020,"LGU- LEMERY, BATANGAS",1,Not classified,,,
7048,Supply and Delivery of 6 units Temperature Recorder,120000,16/06/2020,26/06/2020,MRL CYBERTEC CORP.,120000,27/05/2020,04/06/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,1,Not classified,,,
7049,Procurement of Medical Supplies,120000,07/05/2020,14/05/2020,"RG Meditron, Inc.",120000,04/05/2020,05/05/2020,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,1,Not classified,,,
7050,PROCUREMENT OF WELFARE GOODS,568000,17/06/2020,27/06/2020,WILLIAM L. LORENZO,120000,15/06/2020,27/06/2020,LGU SIGAY,0.211267606,Not classified,,,
7051,PURCHASE OF HAZMAT SUITS TO BE USED BY FRONTLINERS DURING COVID 19,120000,21/04/2020,01/05/2020,CEFEKUR GARMENTS INDUSTRY,120000,21/04/2020,21/04/2020,Local Government Unit of Oton,1,Not classified,,,
7052,PROCUREMENT OF VARIOUS MATERIALS FOR COVID19,2000000,11/05/2020,11/05/2020,GENTLE MDV ENTERPRISES,120000,11/05/2020,11/05/2020,"LGU Sta. Barbara, Pangasinan",0.06,Not classified,,,
7053,Supply and Delivery of I.V Fluids 0.9% Sodium Chloride 1L,122820,17/06/2020,08/07/2020,"EURO-MED LAB PHILS., INC>",120000,17/06/2020,17/06/2020,Talisay District Hospital,0.97703957,Not classified,,,
7054,Procurement of Medical Supplies,120000,30/04/2020,15/05/2020,ANB PHARMACEUTICALS,120000,24/04/2020,30/04/2020,Provincial Government of Agusan del Sur,1,Not classified,,,
7055,Supply and Delivery of Isopropyl Alcohol 70% Solution,120000,20/03/2020,31/03/2020,R-APC Enterprise,120000,19/03/2020,24/03/2020,Municipality of Malay,1,Not classified,,,
7056,Procurement of Personal Protective Equipment,120000,13/04/2020,13/05/2020,INFINITRIX MEDICAL EQUIPMENT AND SUPPLIES TRADING,120000,22/04/2020,22/04/2020,"LGU-Belison, Antique",1,Not classified,,,
7057,Purchase and Delivery of Machinery and Equipment,120000,05/06/2020,04/07/2020,JYD ENTERPRISES,120000,05/06/2020,11/06/2020,LGU Galimuyod,1,Not classified,,,
7058,Supply and Delivery of Electrolyte Reagent Pack,120000,24/04/2020,08/06/2020,"Biocare Health Resources, Inc.",119992,28/04/2020,28/04/2020,Talisay District Hospital,0.999933333,Not classified,,,
7059,Procurement of Farm Productivity Assistance to ARBs on the ARBold MOVE for deliverance of our farmers from COVID-19 pandemic,119990,19/06/2020,19/07/2020,Harbest Agribusiness Corporation,119990,10/06/2020,11/06/2020,Department of Agrarian Reform (DAR) - Aklan,1,Not classified,,,
7060,Procurement of Farm Productivity Assistance to ARBs on the ARBold Move fro Deliverance of our Farmers from COVID-19 Pandemic,119990,19/06/2020,19/07/2020,Harbest Agribusiness Corporation,119990,11/06/2020,19/06/2020,Department of Agrarian Reform (DAR) - Aklan,1,Not classified,,,
7061,Purchase of Medical Supplies,119800,15/06/2020,15/06/2020,J & J Medical Supplies,119800,15/06/2020,16/06/2020,MUNICIPALITY OF MAKATO,1,Not classified,,,
7062,PROCUREMENT OF HOUSEHOLD ITEMS (FOR ISOLATION FACILITY),120250,05/06/2020,24/06/2020,BLUE DRAGON PHARMACEUTICAL TRADING,119770,23/06/2020,29/06/2020,LOCAL GOVERNMENT UNIT OF KATIPUNAN,0.996008316,Not classified,,,
7063,PURCHASE OF ADDITIONAL DRESSED CHICKEN,120000,07/05/2020,21/06/2020,MARA AGRIPOULTRY MARKETING CORPORATION,119700,06/05/2020,07/05/2020,LGU Banate,0.9975,Not classified,,,
7064,PURCHASED OF ADDITIONAL DRESSED CHICKEN,120000,07/05/2020,21/06/2020,MARA AGRIPOULTRY MARKETING CORPORATION,119700,06/05/2020,07/05/2020,LGU Banate,0.9975,Not classified,,,
7065,PROCUREMENT OF 300 PC. COVERALL GENERAL PURPOSE PROTECTIVE SUIT,120000,15/04/2020,23/04/2020,BEROVAN MARKETING INC.,119660,22/04/2020,22/04/2020,Department of Health Central Visayas Center for Health Development,0.997166667,Not classified,,,
7066,Purchase of Medical Supplies,119650,26/04/2020,27/04/2020,Sophie's General Merchandise,119650,14/04/2020,14/04/2020,"LGU-Labo, Camarines Norte",1,Not classified,,,
7067,Supply and Delivery of Various Vegetable Seeds,119540,17/04/2020,27/04/2020,"Pacifica Agrivet Supplies, Inc.",119540,07/04/2020,17/04/2020,Department of Agriculture Regional Field Office 10,1,Not classified,,,
7068,"1,195 PAX MEALS TO BE SERVED FOR COVID-19 FRONTLINERS & WORKFORCE",560000,22/05/2020,22/05/2020,BODO'S DINER,119500,22/05/2020,23/05/2020,CITY GOVERNMENT OF KORONADAL,0.213392857,Not classified,,,
7069,Purchase of Various Medical Supplies,119494,30/04/2020,04/05/2020,"IDS MEDICAL SYSTEMS PHILIPPINES, INC",119494,30/04/2020,04/05/2020,Benguet Provincial Government,1,Not classified,,,
7070,Supply and Delivery of Medical Supplies for COVID-19,119425,19/06/2020,03/08/2020,RSB MARKETING,119425,18/06/2020,18/06/2020,"Municipality of Bantayan, Cebu",1,Not classified,,,
7071,Procurement of Office Supplies,156683.5,11/06/2020,18/06/2020,Philippine Duplicators,119130,01/06/2020,01/06/2020,Bicol Regional Training and Teaching Hospital,0.760322561,Not classified,,,
7072,Procurement ofDisinfecting Supplies,119625,19/05/2020,27/05/2020,New Javier Trading Corporation,119059,19/05/2020,21/07/2020,Municipality of Bantay,0.995268548,Not classified,,,
7073,"Emergency Procurement of Fixture for isolation purpose under Covid-19 of Mercedes, Eastern Samar",120000,22/04/2020,02/05/2020,CS TRADING & GENERAL MERCHANDISE,119000,22/04/2020,22/04/2020,"LGU-Mercedes, Eastern Samar",0.991666667,Not classified,,,
7074,Supply and Delivery of Communication Equipment for Isolation Facility,119000,16/04/2020,25/04/2020,NRVG Merchandising,119000,16/04/2020,25/04/2020,CITY GOVERNMENT OF CABUYAO,1,Not classified,,,
7075,Procurement of Construction Materials,120637,16/04/2020,05/05/2020,ABZKO Construction Corp,118771,16/04/2020,16/04/2020,Provincial Government of Agusan del Sur,0.984532109,Not classified,,,
7076,VARIOUS SUPPLIES FOR THE USE OF CMO - COVID 19 OUTBREAK,118720,14/05/2020,24/05/2020,4M GENERAL MERCHANDISE,118720,14/05/2020,17/05/2020,LGU Tagum City,1,Not classified,,,
7077,Supply and Delivery of Grocery Supplies,118612,28/04/2020,06/05/2020,Villahermosa Shopper's Mart,118612,27/04/2020,27/04/2020,LGU-Remedios T. Romualdez,1,Not classified,,,
7078,"Procurement of Solid State Drive, Table Rectangular Colapsible, Monobloc Chair & Whiteboard 4ft x 8ft Aluminum with Stand",119000,19/06/2020,30/06/2020,G & C Yason General Merchandise,118600,19/06/2020,22/06/2020,"Municipality of San Jose, Occidental Mindoro",0.996638655,Not classified,,,
7079,Purchase of Supplies for VCIU,125260,01/05/2020,04/05/2020,Kenmart Marketing,118549.65,05/05/2020,06/05/2020,"LGU-VALDERRAMA, ANTIQUE",0.946428628,Not classified,,,
7080,Supply and Delivery of 2316 pcs of Handsoap for beneficiaries of TUPAD BKBK of DOLE R02,138960,24/03/2020,31/03/2020,VALUE CHAIN SOLUTIONS INC.,118116,03/04/2020,06/04/2020,DEPARTMENT OF LABOR AND EMPLOYMENT R02,0.85,Not classified,,,
7081,Procurement of Medical Supllies,1857378,27/04/2020,30/04/2020,Shan Pharmaceutical Dealer and Drugstore,118080,20/04/2020,22/04/2020,Bicol Regional Training and Teaching Hospital,0.063573489,Not classified,,,
7082,Purchase of Medical Equipment,118000,14/05/2020,20/05/2020,"RESPICARE ENTERPRISES, INC.",118000,14/05/2020,20/05/2020,Benguet Provincial Government,1,Not classified,,,
7083,2 units Continous Printer with Scanner & 2 units Desktop Computer Set,120000,29/06/2020,07/07/2020,RJR MARKETING,118000,16/07/2020,29/07/2020,Western Visayas Medical Center,0.983333333,Not classified,,,
7084,Purchase of Modular Tent,118000,02/06/2020,02/06/2020,Anatole Helios International Inc.,118000,02/06/2020,19/06/2020,MUNICIPALITY OF MAKATO,1,Not classified,,,
7085,PROCUREMENT OF COVID-19 EMERGENCY SUPPLIES (COA ROIX- APR 20-003),117316.8,20/05/2020,20/05/2020,DBM-PS ZAMBOANGA SUB DEPOT,117912.3,20/05/2020,20/05/2020,COMMISSION ON AUDIT - REGIONAL OFFICE NO. IX,1.005075999,Not classified,,,
7086,Purchase and Delivery of Materials for the Repairs and Maintenance - Buildings (Quarantine Facility),117885,24/03/2020,22/04/2020,M7J CONSTRUCTION SUPPLY,117885,24/03/2020,01/04/2020,LGU Galimuyod,1,Not classified,,,
7087,Procurement for the Supply & Delivery of Bed to be used for quarters of Hospital Employee during the quarantine period.,117784,11/05/2020,10/06/2020,RCG CITY HOME APPLIANCE & FURNITURE CENTER,117784,28/04/2020,28/04/2020,LGU-Olongapo City,1,Not classified,,,
7088,Procurement of Disinfectant Bleaching Solution,117760,08/04/2020,16/04/2020,"CHEMTRUST GLOBAL MARKET, INC.",117760,07/04/2020,08/04/2020,Provincial Government of Agusan del Sur,1,Not classified,,,
7089,"Preventive Precautionary Measure to prevent COVID-19 (Alcohol, Face mask, Vitamins)",117677.4,20/03/2020,20/03/2020,RS Medstar Pharmacy,117677.4,20/03/2020,20/03/2020,LGU-Pinamalayan,1,Not classified,,,
7090,PROCUREMENT OF WASHABLE MASKS,125500,16/06/2020,16/06/2020,KHYN AND GYWN FASHION APPAREL,117675,16/06/2020,16/06/2020,DEPARTMENT OF LABOR AND EMPLOYMENT-NCR,0.937649402,Not classified,,,
7091,Purchase of Various Hardware and Construction Supplies to be Used for the Improvement of the Comfort Rooms at Isolation Facility,121395,14/06/2020,16/07/2020,77CSV CORPORATION,117638,14/04/2020,17/04/2020,"MUNICIPALITY OF MOLAVE, ZAMBOANGA DEL SUR",0.969051444,Not classified,,,
7092,Purchase of Facemask for Covid 19 Prevention & Mitigation,120000,29/05/2020,09/06/2020,LCSJ General Merchandise,117600,29/05/2020,01/06/2020,"Municipality of Tanay, Rizal",0.98,Not classified,,,
7093,Procurement of Covid-19 Equipment Requirement,120000,05/06/2020,09/06/2020,Albay Computer Electronics Supply and Repair,117380,14/05/2020,19/05/2020,Bicol Regional Training and Teaching Hospital,0.978166667,Not classified,,,
7094,Procurement of Various Laboratory Supplies and Reagents,650600,14/04/2020,29/04/2020,Levins International Corporation,117370,25/03/2020,14/04/2020,WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),0.180402705,Not classified,,,
7095,"Kit, 7500 Fast Real-Time PCR, Systems Spectral Calibration Kit I, kit (Thermo Fisher Scientific-Applied Biosystems) (Catalog No. 4360788)",117040,21/05/2020,20/06/2020,"MEDICAL TEST SYSTEMS, INC.",117040,23/04/2020,23/04/2020,Research Institute for Tropical Medicine (RITM-DOH),1,Not classified,,,
7096,Supply and Delivery of Alcohol,120000,29/04/2020,03/05/2020,TRISK WARES TRADING,117000,29/04/2020,30/04/2020,LGU TUGUEGARAO,0.975,Not classified,,,
7097,Procurement of Ascorbic Acid,117000,13/04/2020,20/04/2020,GENZEN PHARMACEUTICAL TRADING,117000,13/04/2020,13/04/2020,Jose B. Lingad Memorial General Hospital,1,Not classified,,,
7098,": Catering Services during financial and food packs distribution in the different barangays on May 5 â€“ 15, 2020",116840,04/05/2020,19/06/2020,LEE-ANN'S CATERING SERVICES,116840,04/05/2020,04/05/2020,"Municipality of Bantayan, Cebu",1,Not classified,,,
7099,Purchase of Flat Screen TV,116500,08/06/2020,08/06/2020,Benzen Office Supplies Trading,116500,08/06/2020,10/06/2020,MUNICIPALITY OF MAKATO,1,Not classified,,,
7100,Procurement of Sodum Ascorbate,116400,06/04/2020,07/04/2020,Raphamed Pharmacy,116400,06/04/2020,07/04/2020,City Government of Baguio,1,Not classified,,,
7101,PaSSOver: ARBold Move for Deliverance from Covid-19 Pandemic -Component 2: Farm Productivity Assistance to ARBs (farm tools & inputs),1343872,11/06/2020,18/06/2020,Parik-CARP Multi-Purpose Cooperative,116350,02/06/2020,11/06/2020,DEPARTMENT OF AGRARIAN REFORM - CATANDUANES,0.086578186,Not classified,,,
7102,Procurement of IV Infusion Pump,116000,24/06/2020,24/07/2020,Josmef Enterprises,116000,16/06/2020,24/06/2020,Don Jose S. Monfort Medical Center Extension Hospital,1,Not classified,,,
7103,LABORATORY SUPPLIES AND REAGENTS,116000,24/04/2020,11/05/2020,CEBU FEDCO MARKETING CORPORATION,116000,24/04/2020,27/04/2020,VICENTE SOTTO MEMORIAL MEDICAL CENTER,1,Not classified,,,
7104,Procurement of Medical Equipment,116000,01/07/2020,30/07/2020,"NPK Medical Trading, Inc.",116000,22/06/2020,23/06/2020,AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,1,Not classified,,,
7105,The PaSSOver: ARBOLD Move for Deliverance of our Farmers from the COVID-19 Pandemic (Provision and Delivery of Food Packs & Hygiene Kits ),877374.1,28/05/2020,29/06/2020,MAPORONG FARMERS ASSOCIATION INC.,115900,29/05/2020,29/05/2020,Department of Agrarian Reform Albay Provincial Office,0.132098725,Not classified,,,
7106,"1,158 PAX MEALS TO BE SERVED FOR COVID-19 FRONTLINERS & WORKFORCE",560000,22/05/2020,22/05/2020,MCCOY'S RIB JOINT,115800,22/05/2020,23/05/2020,CITY GOVERNMENT OF KORONADAL,0.206785714,Not classified,,,
7107,RELIEF GOODS,115791.5,25/03/2020,26/03/2020,THRIFT MART INC.,115791.5,24/03/2020,25/03/2020,LGU Binangonan,1,Not classified,,,
7108,SUpply & Delivery of Electrostatic Gun,135000,19/06/2020,25/07/2020,Intelliserve Trading Incorporated,115750,15/07/2020,15/07/2020,National Irrigation Administration - Central Office,0.857407407,Not classified,,,
7109,Emergency Procurement of Personal Protective Equipment,115700,29/04/2020,13/05/2020,A & D Store and Agrivet Supplies,115700,29/04/2020,08/05/2020,LGU-SALCEDO,1,Not classified,,,
7110,Emergency Procurement of PPEs,115700,29/04/2020,15/05/2020,A & D Store and Agrivet Supplies,115700,29/04/2020,15/05/2020,LGU-SALCEDO,1,Not classified,,,
7111,Meals for OFW Repatriates and Frontliners,115700,29/05/2020,29/05/2020,S-E Hotel and Residence,115700,29/05/2020,31/05/2020,Municipality of Malay,1,Not classified,,,
7112,Procurement of Washing Machines and Deskfans for Ligtas Covid Center (Covid-19),116000,18/06/2020,30/06/2020,G&C Yason General Merchandise,115500,18/06/2020,22/06/2020,"Municipality of San Jose, Occidental Mindoro",0.995689655,Not classified,,,
7113,Supply and Delivery of Meals and Snacks of CSWD Staff/Personnel,115500,17/04/2020,24/04/2020,JMina Catering Services and Gowns,115500,17/04/2020,18/04/2020,"Local Government Unit - Cauayan City, Isabela",1,Not classified,,,
7114,SUPPLY AND DELIVERY OF VARIOUS FILTERED TIPS,120000,26/06/2020,01/07/2020,MRL CYBERTEC CORPORATION,115425,17/06/2020,19/06/2020,ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,0.961875,Not classified,,,
7115,Emergency Purchase of Medicines,115420.36,01/06/2020,10/06/2020,MDST Pharma,115420.36,28/05/2020,29/05/2020,"LGU-San Ricardo, Southern Leyte",1,Not classified,,,
7116,"Supply & Delivery of PPE(without gloves, foot socks ang googles) with hood for Municipal Dumpsite",182600,22/06/2020,06/08/2020,HRRO8MRS17 TRADING CORP.,115370,19/06/2020,21/06/2020,"Municipality of Bantayan, Cebu",0.631818182,Not classified,,,
7117,PROCUREMENT OF VITAMINS AS PART OF FOOD PACKS UNDER COMPONENT 4 OF ARBOLD,155334.8,19/05/2020,28/05/2020,SOUTH STAR DRUG INC,115334.8,19/05/2020,22/05/2020,Department of Agrarian Reform Camarines Sur 1,0.742491702,Not classified,,,
