,Organization Name,Form of Organization,Registration date,Registration Status,Organization status,Certificate Issuance date,Certificate Expiry date,Certificate Reference No.
376,MGE INDUSTRIAL SUPPLIES & ENGINEERING SERVICES,Single Proprietorship,14-Jun-2011,Platinum,Active,01-Jul-2020,01-Jul-2021,20110641722252491509
377,WILAN BUILDERS DEVELOPMENT CORPORATION,Corporation,20-Dec-2019,Platinum,Active,02-Jul-2020,02-Jul-2021,201912463446827004
378,GKC BUILDER & SUPPLY,Single Proprietorship,10-Sep-2008,Platinum,Active,06-Jul-2020,06-Jul-2021,200809223561468058494
379,L-BETHS CONSTRUCTION,Single Proprietorship,04-Sep-2008,Platinum,Active,30-Jun-2020,30-Jun-2021,200809222611785947894
380,EED FAMILY REALTY & DEVELOPMENT CORPORATION,Corporation,10-Apr-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,201904467111967371752
381,A2Z08 MARKETING,Single Proprietorship,22-Jul-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,201507142780671849647
382,MARYUKAN CONSTRUCTION,Single Proprietorship,16-Apr-2019,Platinum,Active,30-Jun-2020,30-Jun-2021,201904458621922344956
383,AFS CONSTRUCTION AND ENTERPRISES,Single Proprietorship,30-Mar-2011,Platinum,Active,30-Jun-2020,30-Jun-2021,20110340029751829921
384,ACM ENTERPRISES,Single Proprietorship,21-Jan-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,201601159318659405947
385,WEBCODE I.T. SOLUTION,Single Proprietorship,02-Dec-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,2016121910541666124960
386,"RACO TRADING PHILS., INC.",Corporation,17-Oct-2007,Platinum,Active,01-Jul-2020,01-Jul-2021,20071017058826439274
387,ZAREPATH CONSTRUCTION AND SUPPLY,Single Proprietorship,16-Aug-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,2016081816621899530112
388,CBJ CALIBRATION AND ENTERPRISES,Single Proprietorship,28-Jan-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,2015011247691638340293
389,GNTS CO. OPERATING UNDER THE NAME OF GNTS BUILDERS,Partnership,19-Jun-2019,Platinum,Active,30-Jun-2020,08-Jul-2021,201906375461345868051
390,RUR CONSTRUCTION AND SUPPLY,Single Proprietorship,15-May-2012,Platinum,Active,30-Jun-2020,30-Jun-2021,201205779591881346432
391,TRYST BUILDERS ENTERPRISES,Single Proprietorship,17-Jan-2007,Platinum,Active,16-Jul-2020,19-Jul-2021,200701122101286659608
392,MHFIVE ORGANIC PRODUCTS TRADING,Single Proprietorship,11-Feb-2019,Platinum,Active,03-Jul-2020,03-Jul-2021,20190255699410493993
393,"BUSINESS PARTNER ENTERPRISE PHILIPPINES, INC.",Corporation,12-Feb-2004,Platinum,Active,30-Jun-2020,31-Jul-2021,20040227551037653124
394,"DOELEUR ELECTROSYSTEMS, INC.",Corporation,22-Jan-2009,Platinum,Active,03-Jul-2020,03-Jul-2021,200901242241742193183
395,TRIPLE C RESTAURANT AND CATERING SERVICES,Single Proprietorship,17-Jun-2016,Platinum,Active,30-Jun-2020,11-Jul-2021,201606174409209984153
396,ALLIANCE OF ISABELA DISABLED PERSON'S DEVELOPMENTCOOPERATIVE,Cooperative,27-Jul-2009,Platinum,Active,01-Jul-2020,01-Jul-2021,200907278681334080383
397,ARLY TRADING & CONSTRUCTION SUPPLY,Single Proprietorship,12-Jan-2007,Platinum,Active,30-Jun-2020,30-Jun-2021,20070112143913344688
398,A AND E SARI-SARI STORE,Single Proprietorship,30-May-2018,Platinum,Active,30-Jun-2020,10-Jul-2021,201805969381645677752
399,HOTEL DE CRISBELLE,Single Proprietorship,02-Feb-2011,Platinum,Active,06-Jul-2020,06-Jul-2021,201102103875674453830
400,REGAL PLAZA HOTEL,Single Proprietorship,21-Feb-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201202488961027801517
401,JDHJ ELECTRICAL SERVICES,Single Proprietorship,25-Oct-2018,Platinum,Active,29-Jun-2020,29-Jun-2021,201810712711104842813
402,GREEN PALM AGRO-FOREST NURSERY,Single Proprietorship,10-Apr-2015,Platinum,Active,23-Jul-2020,23-Jul-2021,201504132612688001320
403,"YCT BUILDERS CENTER CO., INC.",Corporation,07-Jun-2007,Platinum,Active,01-Jul-2020,01-Jul-2021,20070614128356300826
404,"SAFEWAY SECURITY BUILDERS & TRANSPORT SOLUTIONS, INC.",Corporation,29-Oct-2009,Platinum,Active,03-Jul-2020,03-Jul-2021,20091029316395914222
405,CP PAR-LAY INTERNATIONAL CORPORATION,Corporation,08-Jun-2018,Platinum,Active,12-Aug-2020,12-Aug-2021,201806955791745246290
406,A COLOMA CONSTRUCTION,Single Proprietorship,17-Jul-2019,Platinum,Active,29-Jun-2020,30-Jul-2021,201907323131039558705
407,YELLOW GOLD CONSTRUCTION,Single Proprietorship,10-Sep-2007,Platinum,Active,29-Jun-2020,09-Jul-2021,200709163552063425218
408,JMB PAPER SALES AND GENERAL MERCHANDISE,Single Proprietorship,10-Jan-2014,Platinum,Active,29-Jun-2020,15-Jul-2021,20140190685938974209
409,G ELECTRO CENTER,Single Proprietorship,18-May-2020,Platinum,Active,03-Jul-2020,03-Jul-2021,2020052165451910278869
410,ELECSYS POWER CORPORATION,Corporation,22-Jan-2013,Platinum,Active,02-Jul-2020,07-Aug-2021,201301645092034135449
411,ESAVAL ENTERPRISES,Single Proprietorship,23-Dec-2019,Platinum,Active,29-Jun-2020,29-Jun-2021,20191244771148859208
412,"WORLD SOLUTION TECHNOLOGY, INC.",Corporation,21-Jan-2016,Platinum,Active,03-Jul-2020,03-Jul-2021,2016011592891937438839
413,THE HOUSE PRINTERS CORPORATION,Corporation,13-Nov-2003,Platinum,Active,01-Jul-2020,21-Aug-2021,200311351341285517595
414,NYSA ENGINEERING SERVICES,Single Proprietorship,12-Apr-2007,Platinum,Active,01-Jul-2020,05-Jul-2021,20070413413385765049
415,GREEN INNOVATIONS AND CONSERVATION SPECIALISTS INC.,Corporation,06-Feb-2017,Platinum,Active,29-Jun-2020,12-Jul-2021,201702181551912183797
416,BAI PRINTS HUB,Single Proprietorship,06-Jan-2015,Platinum,Active,06-Jul-2020,06-Jul-2021,201501123347717162875
417,"ADMEREX SOLUTIONS, INC.",Corporation,16-Jun-2014,Platinum,Active,02-Jul-2020,02-Jul-2021,2014061052021240713388
418,MIKAELA ENTERPRISES,Single Proprietorship,17-Aug-2012,Platinum,Active,03-Jul-2020,03-Jul-2021,20120857619767811026
419,REYNOLDS BUILDERS,Single Proprietorship,31-Aug-2016,Platinum,Active,30-Jun-2020,30-Jun-2021,2016081834881115440353
420,IMMACON CORPORATION,Corporation,25-Feb-2011,Platinum,Active,02-Jul-2020,02-Jul-2021,201102389832017542236
421,AL-HUSAYN CONSTRUCTION,Single Proprietorship,14-Nov-2008,Platinum,Active,01-Jul-2020,03-Jul-2021,20081123466525509812
422,FURNITURE TRENDS BY SHADREA CO.,Partnership,07-Jul-2017,Platinum,Active,01-Jul-2020,05-Jul-2021,2017071528461112434330
423,COLUMBIA COMPUTER CENTER INC. - CAGAYAN DE ORO,Corporation,01-Apr-2004,Platinum,Active,01-Jul-2020,01-Jul-2021,200404158301692785375
424,PAMPANGA CATL TRADING INC.,Corporation,18-Jan-2016,Platinum,Active,29-Jun-2020,29-Jun-2021,2016011589171431141093
425,LIYA'S ENTERPRISE,Single Proprietorship,08-Jun-2017,Platinum,Active,03-Jul-2020,03-Jul-2021,2017061577261379139937
426,TRIPPLE G BUILDERS,Single Proprietorship,23-May-2017,Platinum,Active,30-Jun-2020,30-Jun-2021,2017051612741592107098
427,IDEAS ASSOCIATED SOLUTIONS,Single Proprietorship,12-Feb-2007,Platinum,Active,02-Jul-2020,02-Jul-2021,20070212577877836002
428,TACLOBAN GRACE TRADING INC.,Corporation,19-Mar-2009,Platinum,Active,03-Jul-2020,18-Jul-2021,2009032554471355957
429,L SQUARE LUMBER AND HARDWARE SUPPLIES,Single Proprietorship,22-Mar-2017,Platinum,Active,30-Jun-2020,30-Jun-2021,201703171844398821273
430,ILOILO-EAST EMPIRE MERCHANDISING INC.,Corporation,28-Jan-2014,Platinum,Active,01-Jul-2020,01-Jul-2021,201401922291277198515
431,COMPACT CONSTRUCTION AND SUPPLY,Single Proprietorship,23-Jun-2011,Platinum,Active,30-Jun-2020,30-Jun-2021,201106419172137244473
432,TREY ENTERPRISES,Single Proprietorship,03-Jul-2014,Platinum,Active,29-Jun-2020,05-Jul-2021,20140710699435767025
433,MQA TRADING,Single Proprietorship,11-Mar-2016,Platinum,Active,07-Jul-2020,07-Jul-2021,201603165038566609068
434,ROSA MYSTICA CONSTRUCTION,Single Proprietorship,30-Jul-2004,Platinum,Active,30-Jun-2020,30-Jun-2021,20040746941588060157
435,ACQUISITION SERVICE IMPLEMENTATION CONSTRUCTION INC,Corporation,26-Jun-2018,Platinum,Active,02-Jul-2020,15-Aug-2021,20180692819880564207
436,"ADRIANA PRINTING CO., INC.",Corporation,15-Apr-2004,Platinum,Active,10-Jul-2020,10-Jul-2021,20040437741409705194
437,SHARIFF CONSTRUCTION AND ENTERPRISES,Single Proprietorship,09-Aug-2011,Platinum,Active,30-Jun-2020,30-Jun-2021,20110843094105816363
438,ILC SUMMIT CONSTRUCTION INC.,Corporation,10-May-2013,Platinum,Active,20-Jul-2020,20-Jul-2021,20130571497683694125
439,NDP CONSTRUCTION DEVELOPMENT,Single Proprietorship,26-Nov-2015,Platinum,Active,30-Jun-2020,30-Jun-2021,201511155251198407231
440,JOEREVIC GENERAL MERCHANDISE,Single Proprietorship,02-May-2019,Platinum,Active,01-Jul-2020,01-Jul-2021,201905442522001204307
441,FPF CONSTRUCTION,Single Proprietorship,18-Sep-2013,Platinum,Active,07-Aug-2020,07-Aug-2021,20130982598418111299
442,JT CHUA CONSTRUCTION INC.,Corporation,20-Jul-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201207562121252377248
443,MIDWAY DRUG AND MEDICAL SUPPLIES,Single Proprietorship,20-Dec-2007,Platinum,Active,06-Jul-2020,06-Jul-2021,20071218040494744872
444,REDCAR TRADING AND CONSTRUCTION,Single Proprietorship,06-Mar-2003,Platinum,Active,01-Jul-2020,05-Aug-2021,20030314851071886797
445,HANDLINK INC,Corporation,07-Aug-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,2017081476461714237903
446,BELLVIEW KUZZINA BAR,Single Proprietorship,10-Mar-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017031741961754842681
447,RAIN CONSTRUCTION CORPORATION,Corporation,18-Feb-2004,Platinum,Active,02-Jul-2020,11-Jul-2021,20040229038120434
448,GPACE FIRE FIGHTING EQUIPMENT AND SERVICES,Single Proprietorship,30-Jul-2003,Platinum,Active,02-Jul-2020,06-Aug-2021,20030717501435704260
449,ESTILO DE QUIWA ENTERPRISE,Single Proprietorship,21-Jul-2016,Platinum,Active,01-Jul-2020,01-Jul-2021,201607178234525124607
450,MIKE'S ENTERPRISES,Single Proprietorship,28-Feb-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,2017021766091790860024
451,JAMILLA ENTERPRISES,Single Proprietorship,13-Apr-2015,Platinum,Active,06-Jul-2020,06-Jul-2021,201504132738560698295
452,MARIKART & SNACK BAR,Single Proprietorship,23-Sep-2015,Platinum,Active,01-Jul-2020,01-Jul-2021,2015091492781527938402
453,"PIAZZA ZICARELLI HOTEL, RESTAURANT & BAKESHOP",Single Proprietorship,16-Jan-2012,Platinum,Active,06-Jul-2020,06-Jul-2021,201201469028284592
454,"MAXCOR PUBLISHING HOUSE, INC.",Corporation,17-Jul-2013,Platinum,Active,02-Jul-2020,02-Jul-2021,201307767481343942325
455,MADLEX TRADING,Single Proprietorship,05-Jul-2017,Platinum,Active,01-Jul-2020,22-Jul-2021,2017071533701656623576
456,SMS MARKETING,Single Proprietorship,26-Sep-2002,Platinum,Active,01-Jul-2020,01-Jul-2021,2002091082446760885
457,CASAN CONSTRUCTION AND TRADING,Single Proprietorship,01-Aug-2012,Platinum,Active,14-Jul-2020,14-Jul-2021,20120856798413974323
458,E.I. SUITES,Single Proprietorship,21-Feb-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,201702178861910886554
459,"SOUTHEAST OCCUPATIONAL HEALTH AND ENVIRONMENTAL SAFETYSERVICES, INC.",Corporation,22-Sep-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,2014091144461545122443
460,"GRAND HAVELUCK ELECTRICAL CO., INC.",Corporation,06-May-2015,Platinum,Active,22-Jul-2020,22-Jul-2021,2015051350581015000441
461,FIL-ASIA AUTOMOTIVE & INDUSTRIES CORP.,Corporation,07-Jun-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201206539871598707549
462,BULBRITE SUNLITE BISTRO INC,Corporation,15-Jun-2020,Platinum,Active,14-Jul-2020,14-Jul-2021,2020062183891181726238
463,GLASDON SUPPLY INC.,Corporation,28-Dec-2018,Platinum,Active,01-Jul-2020,01-Jul-2021,20181261700701902386
464,DUBBEL PHILIPPINES INC.,Corporation,06-Sep-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,201709141416392026980
465,"MEDECIA MED, INC.",Corporation,11-Feb-2004,Platinum,Active,07-Jul-2020,11-Jul-2021,20040227182115416404
466,METRO MACER TRADING AND GENERAL SERVICES,Corporation,08-Apr-2015,Platinum,Active,01-Jul-2020,01-Jul-2021,2015041322411799557705
467,CENTRADE INTEGRATED SALES CORPORATION,Corporation,03-Jun-2013,Platinum,Active,10-Jul-2020,10-Jul-2021,20130673176616214034
468,BEFORE THIRTY THREE CONSTRUCTION AND TRADING,Single Proprietorship,30-Apr-2015,Platinum,Active,16-Jul-2020,16-Jul-2021,2015041345661829256678
469,YOYEN ENTERPRISES,Single Proprietorship,29-May-2007,Platinum,Active,01-Jul-2020,27-Jul-2021,20070513917519520090
470,GENVIN AIRCONDITIONING SERVICES,Single Proprietorship,06-Feb-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,201702181529517610679
471,3G & A CONSTRUCTION AND SUPPLY,Single Proprietorship,11-Jul-2011,Platinum,Active,01-Jul-2020,01-Jul-2021,20110742344156326661
472,FORTUNETRACT AGRO SALES INC.,Corporation,12-Feb-2007,Platinum,Active,01-Jul-2020,01-Jul-2021,200702125891765771036
473,AGUILA SIMBULAN PLUS PARTNERS CONSTRUCTION AND DEVELOPMENTCO.,Partnership,22-Jul-2017,Platinum,Active,06-Jul-2020,06-Jul-2021,2017071501131178329000
474,KIMRICH KIM CONSTRUCTION CORPORATION,Corporation,12-Nov-2014,Platinum,Active,13-Jul-2020,13-Jul-2021,201411119640584234915
475,ZENSHIN SYSTEMS CORPORATION,Corporation,13-Nov-2002,Platinum,Active,02-Jul-2020,02-Jul-2021,20021116992452972769
476,SISSI-IT CONSTRUCTION,Single Proprietorship,03-Feb-2011,Platinum,Active,01-Jul-2020,01-Jul-2021,20110238258839185273
477,ACT (MACHINERIES AND METALCRAFT) CORPORATION,Corporation,03-May-2006,Platinum,Active,01-Jul-2020,02-Aug-2021,20060510095714138216
478,PULVERA HARDWARE,Corporation,30-Jan-2013,Platinum,Active,02-Jul-2020,05-Jul-2021,20130165063620283124
479,"FELCONTECH TRADING AND SERVICES, INC.",Corporation,10-Mar-2015,Platinum,Active,02-Jul-2020,02-Jul-2021,201503129461473591096
480,"SMCC PHILIPPINES, INC.",Corporation,04-Mar-2019,Platinum,Active,01-Jul-2020,01-Jul-2021,20190352366320380119
481,RAND COMPUTER CENTER,Single Proprietorship,05-Aug-2005,Platinum,Active,01-Jul-2020,31-Jul-2021,2005087980981434690
482,FORBEST PEST CONTROL AND GENERAL MERCHANDISE,Single Proprietorship,27-Jun-2013,Platinum,Active,10-Jul-2020,19-Jul-2021,20130675138758702338
483,"I-ASIATIC INNOVATIONS PHILS.,INC.",Corporation,25-Mar-2010,Platinum,Active,06-Jul-2020,10-Jul-2021,201003330521237328108
484,D'5J CONSTRUCTION & SUPPLY,Single Proprietorship,06-Mar-2018,Platinum,Active,01-Jul-2020,01-Jul-2021,2018031115072075936507
485,FOUNTAINWORLD CORPORATION,Corporation,28-Feb-2013,Platinum,Active,01-Jul-2020,01-Jul-2021,201302964631735595294
486,NEW TARLAC NORTHERN MARKETING,Corporation,26-Feb-2004,Platinum,Active,06-Jul-2020,06-Jul-2021,2004023106844110005
487,J.H.T. CONSTRUCTION BUILDERS AND SUPPLY,Single Proprietorship,10-Apr-2015,Platinum,Active,01-Jul-2020,01-Jul-2021,2015041325631019191484
488,RAND CHARLIE ENTERPRISES,Single Proprietorship,10-May-2008,Platinum,Active,01-Jul-2020,31-Jul-2021,20080520402902116193
489,DOSTO DRY GOODS STORE & GENERAL MERCHANDISE,Single Proprietorship,11-Mar-2015,Platinum,Active,07-Jul-2020,28-Aug-2021,201503129595605230727
490,DEN-EXPRESS MANPOWER AGENCY,Single Proprietorship,01-Jul-2014,Platinum,Active,03-Jul-2020,03-Jul-2021,201407106721753874776
491,WJC CONSTRUCTION SERVICES,Single Proprietorship,11-Feb-2010,Platinum,Active,01-Jul-2020,01-Jul-2021,20100232001154911080
492,ABL MARINE SAFETY AND TRADING,Single Proprietorship,10-Jul-2014,Platinum,Active,30-Jun-2020,30-Jun-2021,2014071077611287568590
493,GWGH LAND CONSULTANCY,Single Proprietorship,05-Jan-2016,Platinum,Active,03-Jul-2020,18-Jul-2021,201601157725837145670
494,S.I.G.E TRADING,Single Proprietorship,31-Aug-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201208582211594660296
495,"RBZ HOSPITAL SOLUTIONS, INC.",Corporation,12-Aug-2010,Platinum,Active,02-Jul-2020,31-Jul-2021,20100835170535004093
496,RBV CONSTRUCTION,Single Proprietorship,18-Jun-2020,Platinum,Active,01-Jul-2020,01-Jul-2021,202006218675899068258
497,BESTPRINT ENTERPRISE,Single Proprietorship,03-Oct-2014,Platinum,Active,30-Jun-2020,30-Jun-2021,2014101160221985881183
498,BIG J STEEL CONSTRUCTION CORPORATION,Corporation,21-Jan-2019,Platinum,Active,01-Jul-2020,01-Jul-2021,201901591371964690210
499,"B. BRAUN AVITUM PHILIPPINES, INC.",Corporation,22-Sep-2008,Platinum,Active,07-Jul-2020,07-Jul-2021,20080922534764534640
500,GREEN OPTIONS AGRICULTURAL AND ENVIRONMENTAL BUSINESS CENTER,Single Proprietorship,14-Jul-2015,Platinum,Active,01-Jul-2020,30-Jul-2021,2015071418072147002634
501,"AGP SALES AND BUILDING SERVICES, INC.",Corporation,25-Jul-2005,Platinum,Active,02-Jul-2020,02-Jul-2021,2005077885361676913
502,CALICA CONSTRUCTION,Single Proprietorship,01-Feb-2011,Platinum,Active,01-Jul-2020,01-Jul-2021,201102381641241707224
503,MECON SYSTEMS SERVICE AND MAINTENANCE PRODUCTS,Single Proprietorship,20-Sep-2007,Platinum,Active,15-Jul-2020,15-Jul-2021,20070916545657078129
504,PADIZ TRADING & CONSTRUCTION,Single Proprietorship,30-Jan-2014,Platinum,Active,13-Jul-2020,13-Jul-2021,201401925681240873361
505,MCLAY BUILDERS CONSTRUCTION,Single Proprietorship,25-Jun-2020,Platinum,Active,03-Jul-2020,03-Jul-2021,202006219075946798046
506,MIGCAWAYAN TRIBAL AGRICULTURE COOPERATIVE,Cooperative,21-Oct-2019,Platinum,Active,28-Jul-2020,28-Jul-2021,201910144052081439065
507,SADIWA VEGETABLE STORE,Single Proprietorship,28-Aug-2013,Platinum,Active,03-Jul-2020,03-Jul-2021,20130880046591879885
508,KERGIE ENTERPRISES,Single Proprietorship,03-Mar-2009,Platinum,Active,30-Jun-2020,30-Jun-2021,200903251581645688225
509,BMG SHELL STATION,Single Proprietorship,11-Aug-2016,Platinum,Active,02-Jul-2020,02-Jul-2021,2016081809881757131916
510,FAV CONSTRUCTION AND SUPPLY,Single Proprietorship,11-May-2015,Platinum,Active,02-Jul-2020,02-Jul-2021,201505135392132466172
511,ST. JUDE ENTERPRISES,Single Proprietorship,21-Jun-2006,Platinum,Active,01-Jul-2020,01-Jul-2021,200606104021325480059
512,CMAC CONSTRUCTION & SUPPLY,Single Proprietorship,22-Jan-2010,Platinum,Active,06-Jul-2020,06-Jul-2021,20100130555213461705
513,QUASAR SYSTEM CORPORATION,Corporation,06-Nov-2008,Platinum,Active,01-Jul-2020,01-Jul-2021,20081123324876566992
514,BALBES SURVEYING SERVICES,Single Proprietorship,05-Aug-2013,Platinum,Active,01-Jul-2020,01-Jul-2021,2013087846934501641
515,"AYALA FOUNDATION, INC.",Corporation,18-May-2016,Platinum,Active,17-Jul-2020,17-Jul-2021,2016051714041869560640
516,QUEEN JAYE GARMENTS,Single Proprietorship,15-Mar-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,2017031734851552120104
517,V-JECS TRADING,Single Proprietorship,27-Feb-2004,Platinum,Active,06-Jul-2020,06-Jul-2021,200402222141138503469
518,"CHILDHOOD LEARNERS & READERS PUBLICATIONS, INC.",Corporation,01-Dec-2005,Platinum,Active,02-Jul-2020,02-Jul-2021,20051288921252860920
519,AIRLIFE INTERNATIONAL TRADING CORPORATION,Corporation,06-Sep-2013,Platinum,Active,17-Jul-2020,17-Jul-2021,201309813532070354054
520,"NOVOMED, INC.",Corporation,14-Jan-2011,Platinum,Active,01-Jul-2020,01-Jul-2021,20110137641131804949
521,MB DULNUAN CONSTRUCTION,Single Proprietorship,07-May-2018,Platinum,Active,01-Jul-2020,01-Jul-2021,201805100730659732557
522,ANGEL BUILDERS & CONSTRUCTION SUPPLY,Single Proprietorship,16-Jun-2015,Platinum,Active,02-Jul-2020,02-Jul-2021,2015061387111861247395
523,MISYEL'S CATERING SERVICES,Single Proprietorship,22-Jan-2016,Platinum,Active,07-Jul-2020,07-Jul-2021,201601159426883304141
524,ALQATANI ENTERPRISES,Single Proprietorship,14-Dec-2018,Platinum,Active,01-Jul-2020,01-Jul-2021,201812627521240843619
525,KRUMA CONSTRUCTION MATERIALS TRADING,Single Proprietorship,30-Jan-2020,Platinum,Active,06-Jul-2020,06-Jul-2021,202001209144991493356
526,SARELLE ENGINEERING CONSULTANCY,Single Proprietorship,21-Jan-2014,Platinum,Active,06-Jul-2020,06-Jul-2021,201401916081708641690
527,"RADIO PHILIPPINES NETWORK, INC.",Corporation,10-Apr-2007,Platinum,Active,03-Jul-2020,03-Jul-2021,200704133912088085319
528,"SAFEWAY DIAGNOSTICS AND MEDICAL CLINIC, INC.",Corporation,15-Sep-2008,Platinum,Active,20-Jul-2020,20-Jul-2021,200809224222004046317
529,PADAVELA BUSINESS DEVELOPMENT AND CONSULTANCY CORPORATION,Corporation,15-Jul-2016,Platinum,Active,14-Jul-2020,14-Jul-2021,2016071774471007056914
530,K-ALWIN'Z GENERAL MERCHANDISE CORP.,Corporation,26-Jul-2012,Platinum,Active,01-Jul-2020,01-Jul-2021,201207565271305088699
531,JELAY CONSTRUCTION AND SUPPLY,Single Proprietorship,18-Jul-2014,Platinum,Active,01-Jul-2020,05-Jul-2021,2014071084161567512920
532,MILLENIUM ACCESS CORPORATION,Corporation,20-Nov-2019,Platinum,Active,02-Jul-2020,02-Jul-2021,20191187891785015292
533,YOURMED MARKETING,Single Proprietorship,22-Dec-2010,Platinum,Active,02-Jul-2020,02-Jul-2021,201012374031803673493
534,G-2-BEE GENERAL MERCHANDISE,Single Proprietorship,23-Sep-2008,Platinum,Active,06-Jul-2020,06-Jul-2021,200809225361405761515
535,SOLONIO CONSTRUCTION,Single Proprietorship,23-Apr-2012,Platinum,Active,01-Jul-2020,08-Jul-2021,201204520091643840413
536,UNICC HOMEWORKS TRADING,Single Proprietorship,22-Jul-2014,Platinum,Active,01-Jul-2020,01-Jul-2021,2014071084791156231864
537,ASD COMMERCIAL,Single Proprietorship,03-May-2013,Platinum,Active,01-Jul-2020,01-Jul-2021,20130571083996535181
538,GENDIESEL PHILIPPINES INC.,Corporation,11-Oct-2001,Platinum,Active,01-Jul-2020,07-Jul-2021,200110134111717503659
539,EXTENSIVE STEEL WORKS AND CONSTRUCTION,Single Proprietorship,02-Jun-2014,Platinum,Active,01-Jul-2020,01-Jul-2021,201406103641360692265
540,ZEPHANIAH MEDLAB SUPPLIES AND EQUIPMENTS,Single Proprietorship,26-Sep-2017,Platinum,Active,07-Jul-2020,07-Jul-2021,2017091371651250768849
541,RIGNE GENERAL CONSTRUCTION,Single Proprietorship,03-Jun-2019,Platinum,Active,01-Jul-2020,01-Jul-2021,201906401841265194616
542,C.S VELASCO CONSTRUCTION,Single Proprietorship,20-Nov-2008,Platinum,Active,01-Jul-2020,05-Jul-2021,20081123547163801243
543,V.P. AMPOSTA PETRON STATION,Single Proprietorship,18-May-2018,Platinum,Active,02-Jul-2020,02-Jul-2021,20180599302774045885
544,SOLEWIND BUILDERS,Single Proprietorship,21-Jun-2011,Platinum,Active,03-Jul-2020,03-Jul-2021,20110641851193189710
545,"PHILCOX (PHILIPPINES), INC.",Corporation,04-Jan-2002,Platinum,Active,02-Jul-2020,05-Aug-2021,2002013001518491520
546,INFINNOMED ENTERPRISE,Single Proprietorship,05-Jul-2010,Platinum,Active,02-Jul-2020,26-Aug-2021,201007343951839839468
547,JC MAGPANTAY TRADING,Single Proprietorship,11-Aug-2011,Platinum,Active,02-Jul-2020,02-Jul-2021,201108431851679270983
548,"ILAB TURNKEY INDUSTRIES, INC.",Corporation,21-Jun-2016,Platinum,Active,02-Jul-2020,02-Jul-2021,2016061745391591706800
549,FORMAN CONSTRUCTION SERVICES,Single Proprietorship,02-Mar-2011,Platinum,Active,02-Jul-2020,15-Jul-2021,20110339083442324716
550,ORACLE ( PHILS. ) CORP.,Corporation,19-Jun-2002,Platinum,Active,03-Jul-2020,31-Jul-2021,200206115373440651565
551,S TRIX GENERAL MERCHANDISE,Single Proprietorship,10-Sep-2013,Platinum,Active,10-Jul-2020,10-Jul-2021,201309817661299430580
552,VM TECH SALES AND SERVICES,Single Proprietorship,08-Dec-2017,Platinum,Active,01-Jul-2020,01-Jul-2021,2017121241541341729279
553,"ILOILO MARISON, INCORPORATED",Corporation,12-Jul-2019,Platinum,Active,02-Jul-2020,30-Jul-2021,201907332671131193193
554,TRI-ACCESS VETERINARY TRADING CORP.,Corporation,26-Mar-2012,Platinum,Active,02-Jul-2020,02-Jul-2021,20120350957565702390
555,CENTRAL BOOK SUPPLY INC.,Corporation,10-Dec-2004,Platinum,Active,10-Jul-2020,10-Jul-2021,20041258691892176304
556,FERMAN TRADING & MANUFACTURING CORP.,Corporation,07-Sep-2001,Platinum,Active,01-Jul-2020,01-Jul-2021,20010916173673407
557,GD COMMERCIAL,Single Proprietorship,13-Apr-2011,Platinum,Active,02-Jul-2020,02-Jul-2021,2011044041389886459
558,EFG CATV,Single Proprietorship,18-Jun-2019,Platinum,Active,14-Jul-2020,14-Jul-2021,201906378621786991878
559,UNIFEM TRADING,Single Proprietorship,04-May-2009,Platinum,Active,02-Jul-2020,06-Jul-2021,200905263161486211285
560,TALISAYON MULTI-PURPOSE COOPERATIVE,Cooperative,08-Jul-2017,Platinum,Active,02-Jul-2020,27-Jul-2021,201707152455357709394
561,MACROSS CONSUMER GOODS TRADING,Single Proprietorship,25-Sep-2019,Platinum,Active,03-Jul-2020,03-Jul-2021,201909194151704814546
562,D & C DRUGSTORE AND GENERAL MERCHANDISE,Single Proprietorship,31-Jul-2008,Platinum,Active,14-Jul-2020,13-Aug-2021,20080721781850160996
563,"GEMARC ENTERPRISES, INCORPORATED",Corporation,10-Jun-2005,Platinum,Active,02-Jul-2020,21-Jul-2021,20050675711531639466
564,RB PCSAVER TRADING,Single Proprietorship,11-Oct-2005,Platinum,Active,03-Jul-2020,03-Jul-2021,20051085292019536754
