Procuring Entity name,Edited Start Date,Amount Awarded
Department of Labor and Employment Regional Office No. VIII,2020-04-27,136000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-19,136000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-18,136000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,135950.0
Municipality of Padre Burgos Quezon,2020-05-01,135500.0
Local Government Unit - Baao,2020-05-29,135475.0
MUNICIPALITY OF MOLAVE,2020-05-07,135340.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,135322.5
Municipality of Alimodian,2020-07-03,135250.0
Department of Labor and Employment Regional Office No. VIII,2020-06-02,135240.0
Department of Labor and Employment Regional Office No. VIII,2020-03-30,135010.0
Municipality of Padre Burgos Quezon,2020-04-21,135000.0
LGU San Juan,2020-05-27,135000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,135000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-26,135000.0
DEPARTMENT OF TRADE & INDUSTRY - 9,2020-06-23,135000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-11,135000.0
Local Government Unit of the Island Garden City of Samal,2020-06-02,135000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-20,135000.0
Talisay District Hospital,2020-04-30,135000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,134650.0
Department of Labor and Employment Regional Office No. VIII,2020-03-26,134500.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,134124.0
Department of Labor and Employment Regional Office No. VIII,2020-03-19,134100.0
Municipality of Santa Catalina,2020-03-25,134092.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,133835.0
LGU-Bayambang,2020-05-26,133780.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,133629.0
LOCAL GOVERNMENT UNIT OF BAKUN,2020-05-13,133614.0
Municipality of Paete,2020-03-23,133600.0
LGU Tagum City,2020-05-19,133560.0
Municipal Government of Tadian,2020-05-18,133525.0
LGU Tagum City,2020-06-10,133500.0
Department of Labor and Employment Regional Office No. VIII,2020-05-26,133500.0
Tarlac State University,2020-06-05,133500.0
MUNICIPALITY OF PINILI,2020-03-23,133430.0
Municipality of Bantayan,2020-06-19,133300.0
LGU -SANTA CRUZ LAGUNA,2020-06-05,133252.5
City Government of Baguio,2020-04-22,133120.0
Department of Labor and Employment Regional Office No. VIII,2020-05-28,133000.0
Department of Labor and Employment Regional Office No. VIII,2020-07-28,132904.4
Municipality of Batad Iloilo,2020-06-01,132800.0
Municipality of Tanay,2020-04-29,132750.0
LGU VALENCIA,2020-05-18,132750.0
Department of Labor and Employment Regional Office No. VIII,2020-04-18,132735.0
Department of Labor and Employment Regional Office No. VIII,2020-03-18,132675.0
Provincial Government of Pangasinan,2020-05-18,132570.0
Department of Labor and Employment Regional Office No. VIII,2020-05-21,132226.0
Municipality of Valencia,2020-06-05,132085.0
Municipality of Valencia,2020-06-05,132085.0
LGU-Bayambang,2020-06-19,132030.0
Department of Labor and Employment Regional Office No. VIII,2020-06-17,132005.0
LGU Tagum City,2020-06-10,132000.0
MANILA INTERNATIONAL AIRPORT AUTHORITY,2020-03-13,132000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-25,132000.0
National Irrigation Administration - Central Office,2020-05-26,132000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-05,132000.0
Department of Health Central Visayas Center for Health Development,2020-05-27,131950.0
Department of Labor and Employment Regional Office No. VIII,2020-06-20,131790.0
Department of Health Central Visayas Center for Health Development,2020-06-16,131725.0
Department of Labor and Employment Regional Office No. VIII,2020-04-16,131559.19
PHILIPPINE CARABAO CENTER,2020-05-22,131525.0
Department of Labor and Employment Regional Office No. VIII,2020-06-22,131500.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-16,131310.0
LOCAL GOVERNMENT OF MARIA AURORA,2020-04-22,131121.38
Municipal Government of Angono,2020-04-08,131103.0
Municipal Government of Angono,2020-04-09,131103.0
Municipal Government of Angono,2020-04-10,131103.0
LGU - Bokod,2020-06-01,131000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,131000.0
Jose B. Lingad Memorial General Hospital,2020-04-23,131000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-17,131000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-04,130912.7
LGU-Olongapo City,2020-04-30,130820.0
METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE,2020-05-29,130800.0
Southern Philippines Medical Center,2020-04-15,130600.0
Baguio General Hospital and Medical Center,2020-05-29,130500.0
Municipality of Santa Catalina,2020-04-28,130250.0
Department of Labor and Employment Regional Office No. VIII,2020-06-22,130059.0
MUNICIPAL GOVERNMENT OF SAN JOSE BATANGAS,2020-04-09,130000.0
Municipality of Alimodian,2020-07-03,130000.0
LGU Tagum City,2020-05-22,130000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,130000.0
LUNG CENTER OF THE PHILIPPINES,2020-07-15,130000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,130000.0
DEPARTMENT OF SOCIAL WELFARE AND DEVELOPMENT FIELD OFFICE VII,2020-04-15,130000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-01,130000.0
Talavera General Hospital,2020-06-24,130000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,130000.0
University of the Philippines Los Baños,2020-05-04,130000.0
LGU Tagum City,2020-04-24,129985.0
Department of Labor and Employment Regional Office No. VIII,2020-05-06,129975.0
Municipality of San Jose,2020-06-19,129650.0
Department of Labor and Employment Regional Office No. VIII,2020-02-18,129500.0
Department of Labor and Employment Regional Office No. VIII,2020-07-03,129500.0
PROVINCIAL GOVERNMENT OF AURORA,2020-05-14,129480.0
Provincial Government of Batangas,2020-05-12,129334.66
PAROLE AND PROBATION ADMINISTRATION REGION IV-A,2020-05-05,129200.0
Local Government Unit of Aleosan,2020-06-03,129100.0
LGU Tagum City,2020-06-24,129050.0
Department of Labor and Employment Regional Office No. VIII,2020-03-24,129000.0
Department of Health-Center for Health Development-Cordillera Administrative Region,2020-04-08,129000.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-07-02,129000.0
DEPARTMENT OF AGRARIAN REFORM - CATANDUANES,2020-05-09,128848.5
LGU Tagbilaran City,2020-06-04,128800.0
Department of Labor and Employment Regional Office No. VIII,2020-06-18,128800.0
LGU-Bayambang,2020-06-04,128740.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,128700.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,128607.12
BJMPRO-NCR,2020-02-14,128500.0
BJMPRO-NCR,2020-02-14,128500.0
Municipal Government of Angono,2020-04-12,128478.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,128333.7
Department of Labor and Employment Regional Office No. VIII,2020-05-06,128130.8
LGU - Bokod,2020-05-28,128000.0
LGU - Bokod,2020-05-29,128000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,128000.0
Municipality of San Jose,2020-06-19,128000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,128000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,127888.0
LGU -SANTA CRUZ LAGUNA,2020-03-23,127744.7
Municipal Government of Tulunan,2020-05-11,127730.0
LGU POLANCO,2020-05-21,127670.0
LGU-Bayambang,2020-06-10,127440.0
Department of Labor and Employment Regional Office No. VIII,2020-06-11,127408.0
MUNICIPALITY OF HERMOSA,2020-04-20,127400.0
Philippine Science High School- Caraga Region Campus,2020-04-17,127200.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,127200.0
Department of Labor and Employment Regional Office No. VIII,2020-05-14,127200.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,127196.16
Department of Labor and Employment Regional Office No. VIII,2020-06-03,127160.0
Department of Labor and Employment Regional Office No. VIII,2020-05-16,126880.0
Department of Labor and Employment Regional Office No. VIII,2020-06-18,126755.4
LOCAL GOVERNMENT UNIT OF TITAY,2020-06-18,126500.0
PROVINCIAL GOVERNMENT OF AURORA,2020-03-26,126400.0
Research Institute for Tropical Medicine (RITM-DOH),2020-06-25,126280.0
LGU Binangonan,2020-04-20,126100.0
Municipality of Dingle,2020-04-15,126000.0
LGU Banate,2020-05-05,126000.0
MUNICIPALITY OF PANGLAO,2020-05-27,126000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,126000.0
DEPARTMENT OF AGRARIAN REFORM,2020-06-26,126000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,126000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,126000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,126000.0
CITY GOVERNMENT OF KORONADAL,2020-06-23,126000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-06,125922.9
Department of Labor and Employment Regional Office No. VIII,2020-06-11,125915.0
PROVINCIAL GOVERNMENT OF AURORA,2020-05-19,125900.0
Rizal Provincial Government,2020-06-19,125800.0
University of the Philippines Los Baños,2020-06-18,125300.0
Municipality of Janiuay,2020-05-08,125160.0
Department of Labor and Employment Regional Office No. VIII,2020-03-28,125100.0
MUNICIPALITY OF BINMALEY,2020-06-01,125050.0
Municipality of Dipaculao Aurora,2020-04-14,125000.0
Municipality of Dipaculao Aurora,2020-04-20,125000.0
MUNICIPALITY OF PINILI,2020-04-30,125000.0
Municipality of Bantayan,2020-05-18,125000.0
LGU-Maasin City,2020-04-16,125000.0
Local Government Unit - Municipality of San Nicolas,2020-06-25,125000.0
Local Government Unit - Municipality of San Nicolas,2020-03-24,125000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-22,125000.0
CENTRAL LUZON STATE UNIVERSITY,2020-05-14,125000.0
PROVINCIAL GOVERNMENT OF AURORA,2020-04-29,125000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-19,125000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,124800.0
METROPOLITAN WATERWORKS AND SEWERAGE SYSTEM - REGULATORY OFFICE,2020-04-17,124748.0
Department of Labor and Employment Regional Office No. VIII,2020-06-23,124600.0
MUNICIPALITY OF SAN MARCELINO,2020-04-19,124580.0
Department of Labor and Employment Regional Office No. VIII,2020-04-08,124489.0
Municipality of Tanay,2020-05-29,124350.0
MUNICIPAL GOVERNMENT OF MARAMAG,2020-04-07,124198.32
PROVINCIAL GOVERNMENT OF LAGUNA,2020-05-04,124197.75
Department of Labor and Employment Regional Office No. VIII,2020-05-06,124000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,123900.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,123851.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-16,123800.0
CITY GOVERNMENT OF KORONADAL,2020-05-22,123700.0
Department of Labor and Employment Regional Office No. VIII,2020-06-26,123697.0
LGU-Guiuan,2020-05-20,123571.0
Municipality of Kalawit,2020-06-09,123540.0
Department of Labor and Employment Regional Office No. VIII,2020-06-01,123500.0
City Government of Butuan,2020-04-27,123435.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-05-13,123322.0
Department of Labor and Employment Regional Office No. VIII,2020-06-09,122950.0
Department of Labor and Employment Regional Office No. VIII,2020-04-23,122850.0
Department of Agrarian Reform Camarines Sur 1,2020-05-12,122824.0
Local Government Unit - Santa Rosa,2020-03-17,122760.0
DOH - Davao Center for Health Development,2020-06-16,122650.0
Department of Labor and Employment Regional Office No. VIII,2020-05-11,122589.0
LGU TOBIAS FORNIER,2020-05-12,122500.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,122500.0
Department of Labor and Employment Regional Office No. VIII,2020-04-21,122500.0
City Government of Tacurong,2020-06-22,122400.0
LGU Tagum City,2020-06-22,122370.0
LGU - Bokod,2020-05-29,122306.16
Municipality of Santa Catalina,2020-05-28,122283.05
Department of Labor and Employment Regional Office No. VIII,2020-05-14,122280.0
Research Institute for Tropical Medicine (RITM-DOH),2020-06-23,122144.4
Department of Labor and Employment Regional Office No. VIII,2020-06-23,122010.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,122000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-14,121900.0
City Government of Antipolo,2020-06-18,121570.0
Municipal Government of Moncada,2020-06-09,121568.74
LGU Tagum City,2020-04-14,121502.1
LGU Catarman,2020-04-16,121500.0
Municipality of Tanay,2020-06-17,121382.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,121100.0
Department of Labor and Employment Regional Office No. VIII,2020-05-15,121000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,120754.4
City Government of Baguio,2020-04-23,120600.0
MUNICIPALITY OF MOLAVE,2020-06-25,120500.0
MUNICIPALITY OF MOLAVE,2020-06-10,120500.0
CITY GOVERNMENT OF KORONADAL,2020-05-05,120400.0
Municipal Government of Calatagan,2020-03-28,120150.0
LGU-Labo,2020-04-20,120000.0
Mariano Marcos State University,2020-05-04,120000.0
LGU- LEMERY,2020-03-30,120000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-05-07,120000.0
LGU Sta. Barbara,2020-05-11,120000.0
MUNICIPALITY OF PANGLAO,2020-06-18,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-05,120000.0
CENTER FOR HEALTH DEVELOPMENT - REGION VI,2020-07-14,120000.0
Department of Trade and Industry - Main,2020-03-21,120000.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-06-16,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-20,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-03-26,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,120000.0
Local Government Unit of Oton,2020-04-21,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-17,120000.0
PROVINCIAL GOVERNMENT OF AURORA,2020-05-15,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,120000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-16,120000.0
Talisay District Hospital,2020-06-17,120000.0
LGU SIGAY,2020-06-17,120000.0
Talisay District Hospital,2020-04-24,119992.0
Department of Labor and Employment Regional Office No. VIII,2020-06-19,119990.0
Department of Labor and Employment Regional Office No. VIII,2020-06-19,119990.0
Department of Labor and Employment Regional Office No. VIII,2020-06-15,119800.0
Department of Labor and Employment Regional Office No. VIII,2020-06-05,119770.0
LGU Banate,2020-05-07,119700.0
LGU Banate,2020-05-07,119700.0
Department of Health Central Visayas Center for Health Development,2020-04-15,119660.0
LGU-Labo,2020-04-26,119650.0
Department of Agriculture Regional Field Office 10,2020-04-17,119540.0
CITY GOVERNMENT OF KORONADAL,2020-05-22,119500.0
Benguet Provincial Government,2020-04-30,119494.0
Municipality of Bantayan,2020-06-19,119425.0
Department of Labor and Employment Regional Office No. VIII,2020-06-11,119130.0
Municipality of Bantay,2020-05-19,119059.0
LGU-Mercedes,2020-04-22,119000.0
CITY GOVERNMENT OF CABUYAO,2020-04-16,119000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-16,118771.0
LGU Tagum City,2020-05-14,118720.0
LGU-Remedios T. Romualdez,2020-04-28,118612.0
Municipality of San Jose,2020-06-19,118600.0
LGU-VALDERRAMA,2020-05-01,118549.65
Department of Labor and Employment Regional Office No. VIII,2020-03-24,118116.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,118080.0
Benguet Provincial Government,2020-05-14,118000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-29,118000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-02,118000.0
COMMISSION ON AUDIT - REGIONAL OFFICE NO. IX,2020-05-20,117912.3
Department of Labor and Employment Regional Office No. VIII,2020-03-24,117885.0
LGU-Olongapo City,2020-05-11,117784.0
Department of Labor and Employment Regional Office No. VIII,2020-04-08,117760.0
LGU-Pinamalayan,2020-03-20,117677.4
Department of Labor and Employment Regional Office No. VIII,2020-06-16,117675.0
MUNICIPALITY OF MOLAVE,2020-06-14,117638.0
Municipality of Tanay,2020-05-29,117600.0
Department of Labor and Employment Regional Office No. VIII,2020-06-05,117380.0
WEST VISAYAS STATE UNIVERSITY MEDICAL CENTER - REGION VI (WVSUMC),2020-04-14,117370.0
Research Institute for Tropical Medicine (RITM-DOH),2020-05-21,117040.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,117000.0
Jose B. Lingad Memorial General Hospital,2020-04-13,117000.0
Municipality of Bantayan,2020-05-04,116840.0
Department of Labor and Employment Regional Office No. VIII,2020-06-08,116500.0
City Government of Baguio,2020-04-06,116400.0
DEPARTMENT OF AGRARIAN REFORM - CATANDUANES,2020-06-11,116350.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,116000.0
AMANG RODRIGUEZ MEMORIAL MEDICAL CENTER,2020-07-01,116000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,116000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-28,115900.0
CITY GOVERNMENT OF KORONADAL,2020-05-22,115800.0
LGU Binangonan,2020-03-25,115791.5
National Irrigation Administration - Central Office,2020-06-19,115750.0
Department of Labor and Employment Regional Office No. VIII,2020-05-29,115700.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,115700.0
Department of Labor and Employment Regional Office No. VIII,2020-04-29,115700.0
Municipality of San Jose,2020-06-18,115500.0
Department of Labor and Employment Regional Office No. VIII,2020-04-17,115500.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-06-26,115425.0
Department of Labor and Employment Regional Office No. VIII,2020-06-01,115420.36
Municipality of Bantayan,2020-06-22,115370.0
Department of Agrarian Reform Camarines Sur 1,2020-05-19,115334.8
City Government of Biñan,2020-05-30,115317.5
Department of Health - Center for Health Development I,2020-06-25,115200.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-07-02,115200.0
PROVINCIAL GOVERNMENT OF LAGUNA,2020-04-28,115198.0
Jose B. Lingad Memorial General Hospital,2020-07-15,115000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-13,115000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-15,115000.0
MUNICIPALITY OF CARAGA,2020-05-05,114750.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,114583.0
CITY GOVERNMENT OF KORONADAL,2020-05-05,114520.0
CITY GOVERNMENT OF KORONADAL,2020-05-22,114500.0
Department of Labor and Employment Regional Office No. VIII,2020-03-23,114500.0
Department of Labor and Employment Regional Office No. VIII,2020-05-07,114500.0
LOCAL GOVERNMENT UNIT OF ATIMONAN,2020-05-08,114497.0
Department of Labor and Employment Regional Office No. VIII,2020-04-30,114400.0
PHILIPPINE VETERANS AFFAIRS OFFICE,2020-05-04,114400.0
Department of Labor and Employment Regional Office No. VIII,2020-03-12,114360.0
Department of Labor and Employment Regional Office No. VIII,2020-04-17,114300.0
LGU-Pinamalayan,2020-03-20,114000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-25,114000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,114000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-13,114000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-02,114000.0
BATANES GENERAL HOSPITAL,2020-06-26,113750.0
Department of Labor and Employment Regional Office No. VIII,2020-03-27,113741.0
CITY GOVERNMENT OF KORONADAL,2020-03-18,113415.0
LGU-Sinait,2020-04-21,113412.5
Department of Labor and Employment Regional Office No. VIII,2020-05-14,113300.0
LGU-Sinait,2020-04-21,113280.0
Municipality of Carmen,2020-04-13,113000.0
MUNICIPALITY OF HERMOSA,2020-04-24,113000.0
LGU - Bokod,2020-05-29,113000.0
CITY GOVERNMENT OF KORONADAL,2020-04-17,113000.0
ILOCOS TRAINING AND REGIONAL AND MEDICAL CENTER,2020-07-09,112990.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,112925.0
Benguet Provincial Government,2020-05-22,112888.0
Department of Health - Center for Health Development I,2020-06-26,112684.6
Municipality of Sibonga,2020-03-31,112500.0
Municipality of Sibonga,2020-04-29,112500.0
Municipality of Sibonga,2020-05-12,112500.0
Authority of the Freeport Area of Bataan,2020-03-24,112500.0
Authority of the Freeport Area of Bataan,2020-03-24,112500.0
Municipality of Sibonga,2020-03-27,112500.0
Philippine Rice Research Institute,2020-04-01,112500.0
Department of Labor and Employment Regional Office No. VIII,2020-06-23,112500.0
Department of Health Central Visayas Center for Health Development,2020-03-30,112500.0
Local Government Unit - Mabitac,2020-05-18,112500.0
Department of Labor and Employment Regional Office No. VIII,2020-05-01,112500.0
Department of Labor and Employment Regional Office No. VIII,2020-06-01,112500.0
Department of Labor and Employment Regional Office No. VIII,2020-06-16,112500.0
COMMISSION ON POPULATION AND DEVELOPMENT REGION 3,2020-04-13,112090.0
Department of Labor and Employment Regional Office No. VIII,2020-05-12,112050.0
LGU-Remedios T. Romualdez,2020-04-23,112000.0
City of Bogo,2020-04-14,112000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,112000.0
Municipality of Tanay,2020-05-27,112000.0
Local Government Unit - Mabitac,2020-04-27,112000.0
Talisay District Hospital,2020-06-23,112000.0
Municipality of Bantayan,2020-06-11,112000.0
Civil Service Commission-National Capital Region,2020-03-16,111947.0
Research Institute for Tropical Medicine (RITM-DOH),2020-06-25,111780.0
Department of Labor and Employment Regional Office No. VIII,2020-05-13,111600.0
LGU- LEMERY,2020-03-16,111576.0
LGU-Labo,2020-05-13,111520.0
Mariveles Mental Wellness And General Hospital,2020-06-16,111250.0
CITY GOVERNMENT OF KORONADAL,2020-03-18,111000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,111000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-17,111000.0
Department of Health - Center for Health Development I,2020-06-10,110700.0
Department of Labor and Employment Regional Office No. VIII,2020-06-24,110700.0
LGU -SANTA CRUZ LAGUNA,2020-03-30,110664.0
LGU POLANCO,2020-04-06,110650.0
Municipality of Dingle,2020-05-06,110450.0
Department of Labor and Employment Regional Office No. VIII,2020-05-14,110433.0
Municipality of Bantayan,2020-05-18,110400.0
Municipality of Bantayan,2020-05-29,110400.0
LGU Perez Quezon,2020-06-19,110332.0
Department of Labor and Employment Regional Office No. VIII,2020-04-14,110117.5
CITY GOVERNMENT OF CABUYAO,2020-04-21,110049.0
Municipality of Carmen,2020-04-27,110000.0
LGU -SANTA CRUZ LAGUNA,2020-03-30,110000.0
DR. JOSE RIZAL MEMORIAL HOSPITAL,2020-04-16,110000.0
LGU -SANTA CRUZ LAGUNA,2020-05-11,110000.0
LGU-Olongapo City,2020-05-05,110000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-22,110000.0
Municipal Government of San Vicente,2020-05-11,110000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-08,110000.0
DEPARTMENT OF AGRARIAN REFORM,2020-05-12,110000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-06,110000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-20,110000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-01,110000.0
Research Institute for Tropical Medicine (RITM-DOH),2020-07-22,110000.0
CITY GOVERNMENT OF KORONADAL,2020-04-15,109800.0
Bangko Sentral ng Pilipinas - Batac Branch,2020-04-20,109770.0
LGU LA LIBERTAD ZDN,2020-06-05,109705.0
Municipality of Bantayan,2020-05-29,109650.0
Municipality of Bantayan,2020-06-15,109650.0
Jose R. Reyes Memorial Medical Center,2020-06-17,109480.0
Department of Labor and Employment Regional Office No. VIII,2020-05-28,109250.0
Department of Labor and Employment Regional Office No. VIII,2020-05-16,109200.15
Municipality of Quezon,2020-03-19,109200.0
LGU-VALDERRAMA,2020-05-01,109120.0
Department of Labor and Employment Regional Office No. VIII,2020-04-08,109100.0
MUNICIPALITY OF NABUNTURAN,2020-06-04,109077.0
Department of Labor and Employment Regional Office No. VIII,2020-05-01,108900.0
DPWH REGIONAL OFFICE IV-B,2020-04-08,108864.0
Local Government Unit of Naga,2020-05-18,108750.0
Department of Labor and Employment Regional Office No. VIII,2020-03-24,108600.0
LGU Perez Quezon,2020-06-19,108575.0
Philippine Crop Insurance Corporation,2020-04-28,108524.0
Department of Labor and Employment Regional Office No. VIII,2020-05-26,108384.0
Department of Labor and Employment Regional Office No. VIII,2020-07-07,108340.0
Department of Labor and Employment Regional Office No. VIII,2020-03-20,108150.0
Department of Labor and Employment Regional Office No. VIII,2020-05-27,108000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-18,108000.0
Department of Social Welfare and Development - Caraga,2020-05-18,108000.0
Local Government Unit of Anao,2020-05-29,108000.0
Municipality of Alimodian,2020-07-06,107929.0
Department of Labor and Employment Regional Office No. VIII,2020-07-02,107850.0
Department of Labor and Employment Regional Office No. VIII,2020-06-23,107765.0
Department of Labor and Employment Regional Office No. VIII,2020-07-16,107750.0
MUNICIPALITY OF BINMALEY,2020-06-06,107750.0
LGU CALASIAO PANGASINAN,2020-04-13,107500.1
Local Government Unit - Santa Rosa,2020-04-16,107460.0
Department of Labor and Employment Regional Office No. VIII,2020-04-15,107300.0
Local Government Unit of Sulop,2020-03-23,107250.0
Municipality of San Jose,2020-06-19,107116.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,107100.0
LGU Tagum City,2020-04-08,107060.4
Department of Labor and Employment Regional Office No. VIII,2020-06-19,107046.45
Department of Labor and Employment Regional Office No. VIII,2020-06-26,107000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-14,107000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-19,106895.0
Department of Labor and Employment Regional Office No. VIII,2020-04-02,106740.0
Department of Labor and Employment Regional Office No. VIII,2020-04-28,106699.85
Department of Labor and Employment Regional Office No. VIII,2020-05-04,106680.0
Department of Labor and Employment Regional Office No. VIII,2020-05-28,106666.0
Local Government Unit of the Island Garden City of Samal,2020-06-05,106500.0
Department of Labor and Employment Regional Office No. VIII,2020-07-03,106440.5
Rizal Provincial Government,2020-05-29,106200.0
Municipality of Paete,2020-04-30,106130.0
CITY GOVERNMENT OF KORONADAL,2020-03-24,106110.0
Department of Labor and Employment Regional Office No. VIII,2020-04-22,106000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-24,106000.0
LGU Tagum City,2020-06-18,105990.0
Department of Labor and Employment Regional Office No. VIII,2020-05-12,105960.0
LOCAL GOVERNMENT UNIT OF BAKUN,2020-06-04,105900.0
Provincial Government of Batangas,2020-05-30,105600.0
CITY GOVERNMENT OF KORONADAL,2020-03-24,105600.0
Talisay District Hospital,2020-04-29,105470.0
Department of Labor and Employment Regional Office No. VIII,2020-04-27,105418.0
Department of Labor and Employment Regional Office No. VIII,2020-05-22,105345.0
Department of Labor and Employment Regional Office No. VIII,2020-06-30,105340.0
Department of Labor and Employment Regional Office No. VIII,2020-04-02,105316.3
MUNICIPALITY OF BINMALEY,2020-06-16,105300.0
LGU DAGUPAN CITY,2020-03-27,105270.0
Local Government Unit of Aleosan,2020-06-15,105200.0
Municipality of Alimodian,2020-07-03,105012.0
PROVINCIAL GOVERNMENT OF AURORA,2020-04-24,105000.0
LGU Tagum City,2020-05-19,105000.0
Benguet Provincial Government,2020-04-30,105000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-15,105000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-04,105000.0
Department of Social Welfare and Development - Caraga,2020-05-26,105000.0
Local Government Unit of the Island Garden City of Samal,2020-05-29,105000.0
Baguio General Hospital and Medical Center,2020-05-28,105000.0
Department of Labor and Employment Regional Office No. VIII,2020-04-06,105000.0
Department of Labor and Employment Regional Office No. VIII,2020-05-05,105000.0
Department of Labor and Employment Regional Office No. VIII,2020-06-09,104850.0
LGU - Sergio Osmeña,2020-04-27,104781.0
