Name Of Awarded Company,Amount Awarded (in hundred thousands),Average Date Difference
Cher Enterprises Incorpporated,4.4,4.0
"Phil Pharmawealth,Inc.",4.4,9.0
ECO HYGIENE INSTITUTIONAL SALES CORPORATION,4.4,3.0
Hisol Trading,4.4139,29.0
QUALIMEDIC MARKETING,4.42,18.0
Lucky Archer Grains Processing Center,4.422,61.0
RO DIV DRIED FISH RETAILER,4.44,1.0
Ideamax Design Inc.,4.44528,5.0
"Hacienda Macalauan, Inc.",4.4496,17.0
"SCIENTIFIC BIOTECH SPECIALTIES,INC.",4.452,1.0
Aequus Enterprises,4.453,11.0
JOYCE BEAU GENERAL MERCHANDISE,4.46232,3.0
Superior Maintenance Services Inc.,4.4638198,30.0
ELMER O. ABELLO,4.464,10.0
Gesalem Enterprises,4.472,12.0
LEE-ANN'S CATERING SERVICES,4.4729,44.0
"Scientific Biotech Specialties,Inc, Fastlab Diagnostics",4.4796,23.0
Fair & Square Marketing Company,4.48,15.0
WESTELLAR ENTERPRISE,4.48425,29.0
STERITEX MEDICAL SYTEM,4.488,7.0
Adelaine's Drug Haus and Medical Supply,4.4893,56.333333333333336
"FAIR & SQUARE MARKETING, CO.",4.49135,10.0
BARSOLIS PALAY ENTERPRISE,4.4942,31.0
Magâ€™s and Rem Catering and Food Services,4.4963,14.0
JM BAUTISTA ENTEPRISES,4.5,6.0
"Biomedica Health Care Inc.,",4.5,14.0
D. Pulvinar Transport,4.5,45.0
J. Sesgundo Pansit Factory,4.5,5.0
"Scientific Biotech Specialties, Inc.",4.5,187.5
PRO-LIFE HEALTHCARE SYSTEMS CORP,4.5,15.0
MEDTEX CORPORATION,4.5,7.0
"ACE HARDWARE PHILIPPINES, INC.",4.5044675,14.0
Waidy's General Merchandise,4.5069,10.0
P AND P MEDICAL SUPPLIES AND GENERAL MERCHANDISE,4.50954,6.0
Endure Medical Inc.,4.510215,6.0
"ADVANCE SOLUTIONS, INC.",4.518,15.0
DAVOCOL'S GENERAL MERCHANDISE,4.5198,45.0
"PHILFOAM FURNISHING INDUSTRIES, INC.",4.53375,12.0
GYR TRADING,4.55136,26.5
MC ARC INDUSTRIAL SUPPLY,4.5545,12.333333333333334
Getz Bros. Phils. Inc.,4.555,8.0
"Geographic Innovations Development Solutions, Inc.",4.56,31.0
JENNY TAUNAN,4.565,1.0
CUTS AND RISE GENERAL MERCHANDISE,4.598,14.5
"Rehab Ventures and Medical Products, Inc.",4.6,90.0
NORMIE DANGAN,4.6016,5.0
Wynnmin Enterprises,4.605,4.0
Allied Hospital Supply International Corp.,4.62,14.0
"Big Apple Packaging, Inc.",4.62,6.0
Health Saver's Pharmacy,4.6212,5.666666666666667
Dennis Repil,4.625,5.0
"Aniceto Marquez, Jr.",4.625,4.0
ATIMONAN BUILDER,4.63038,12.0
SPEED CENTRE PETRON SERVICE STATION,4.6349085,33.1578947368421
ISONN MARKETING,4.644101,1.0
"SURGICO PHILIPPINES, INCORPORATED",4.646,10.0
BERMUDEZ GENERAL MERCHANDISE,4.646,7.0
RS PARRENO STORE,4.65,16.0
RICAFORT-TEE Catering Services,4.65,1.0
HADJAH Agri-Vet Trading and General Merchandise,4.65315,22.333333333333332
MARRIANNE'S GENERAL MERCHANDIZE,4.65416,24.0
Pinaksoy Tailoring,4.67,10.25
UJR CASCIA CORPORATION,4.677423,18.0
"Champion Hardware & Co., Inc",4.68,7.0
Jesus & Nating Sari-Sari Store,4.68,8.5
Malex Office Supply and Equipment,4.685,1.0
CARLITO CARPIO,4.7012,4.0
ST. MARK AND IRA PHARMA AND GENERAL MERCHANDISE,4.70531,10.0
Fearjan Healthlink Enterprises,4.70651,8.0
MEDISAFE PHILIPPINES INCORPORATED,4.71,14.0
Spring Development Corp.,4.71,31.5
EU Enterprises,4.72155,15.0
"cebu business materials trading co., inc.",4.725,53.0
RBGM Medical Express Sales Inc,4.738,31.0
K3 RICEMILL,4.74498,7.0
EJ's Com Enterprise,4.745,7.0
JOSEFA TOJE RICE RETAILING,4.75,5.5
Goldrich Kid General Merchandise,4.75,1.0
New People's Hardware,4.75037,22.0
OSH ENTRPRISES,4.75176,6.0
"JPX Glass, Aluminum and Hardware Supply",4.7582,22.0
REYVIM CONSTRUCTION AND SUPPLY,4.76446,6.0
Eastern Line Development and Construction,4.7702915,19.0
HARDY MARKETING ENTERPRISES,4.771,39.0
GRG Marketing & Services,4.773855,3.0
LION COMMERCIAL CORPORATION,4.7766682000000005,36.0
Drake Marketing and Equipment corp.,4.78,9.0
CARELINK MEDICAL SUPPLIES,4.7842,1.0
RISING SUN COMMERCIAL CORPORATION,4.785,1.0
"BIOMEDICA HEALTH CARE , INC.",4.78639,32.0
IGNACIO REBECCA GENERAL MERCHANT,4.7874,31.0
Oliveroz Protective Equipment and Maritime Supplies,4.79,5.0
BDG Construction Supply,4.79998,15.5
Deluxe Inn,4.8,92.0
biosi,4.8,15.0
THE TENT CITY RENTALS AND SALES SERVICES CORP.,4.8,3.0
PETERMAN GENERAL MERCHANDISE,4.8,8.0
"Fabrimetrics Phils., Inc.",4.8,20.0
"EBSCO INTERNATIONAL, INC.",4.807392,14.0
CECILIA CALINOG,4.80985,5.0
Lot-9 Catering Services,4.8147,12.7
JAMM'S OFFICE AND SCHOOL SUPPLIES,4.82408,7.333333333333333
Office Options & General Merchandise,4.84,7.0
Globequipt Corporation,4.851,217.0
RIVERSIDE FOOD SUPPLIES AND CATERING SERVICES,4.8568,7.2
MAYLUZ PHARMACY & GENERAL MERCHANDISE,4.8602,31.0
Zookee Zookee Custom Prints,4.8624,5.0
VMED MEDICAL CO,4.87,8.0
"OMNIBUS, BIO MEDICAL SYSTEM, INC",4.87,11.0
VILMA P. PADUL,4.8774,5.0
FJC PETROLEUM PRODUCTS,4.8809515999999995,8.0
SAGUDO-AN STORE,4.882068,3.0
PRMR SUPPLY ENTERPRISES,4.8825,3.0
Greenfield Agricultural Supply & General Merchandise,4.89736,4.0
JM TRAVEL & TOURS,4.9,9.0
James Sales,4.90052,15.0
AUSPICIA INC.,4.9016,1.0
PETRON CORPORATION,4.9037066,3.0
ANR Travel and Tours Corporation,4.9056,92.0
W&A Agro Industrial Corporation,4.90872,7.0
A. Damalerio Store / Avelina D. Damalerio,4.915,24.0
Mercogne Pharmacy & General Merchandise,4.915,7.0
SONICFLOW ENTERPRISES,4.9229,20.0
BAYAMBANG LGU EMPLOYEES CONSUMERS COOP.,4.9252,2.3333333333333335
DBM-PROCUREMENT SERVICE,4.9286676,15.0
"MDX NETHERLANDS DIAGNOSTIC, INC.",4.94,7.0
SAYA'S RESTAURANT,4.95,22.0
MONTANEZ SON'S & RICE MILL,4.95,7.0
KASVAND TRADING AND GEN. MDSE.,4.95,2.0
BELMONT INDUSTRIAL TOOL CENTER,4.95,21.0
NEW ISLAND BAZAR,4.9542514,30.0
Redluck Enterprises,4.95535,6.0
03-20-043U TRI-DEN INC,4.96,27.0
V3 Pesimas Agro Chem & Pest Control Servoces Inc,4.96,25.0
SGS Healthcare Co.,4.96,3.0
LR ENTERPRISES,4.96194,4.75
JOJIE U. BERNARDO,4.9698,4.0
BL Enterprises and Hardware,4.97078,7.0
Laurenice Enterprises,4.972,2.0
3 STAR General Merchandise,4.97265,14.0
G.G Buenaagua Agri Enterprises,4.98,30.0
THAN THAN HARDWARE & GEN. MERCHANDISE,4.9839,1.5
LEOFRED BOUTIQUE,4.98535,9.0
"4J's Tech Equipment, Gadgets & Gen. Mdse.",4.99,2.0
JEANETTE PHARMACY MEDICAL SUPPLY AND EQUIPMENT,4.992,41.0
J FOURTH TRADING,4.993,15.0
MEDWELL MEDIPHARMA,4.9932,2.0
THREE-IN-ONE CONSTRUCTION AND TRADING,4.9945,6.0
Parson Store / Parson U. Magnon,4.995,23.0
"JFJ CONSTRUCTION AND SUPPLY, INC.",4.9965,61.0
GOLDEN VISION CONSTRUCTION & SUPPLY,4.997,16.0
WELL-PACK CONTAINER CORPORATION,4.998,4.0
"Colent Marketing Phils., Inc.",4.999,7.0
WESTVILTRADE CORPORATION,4.9995840000000005,206.0
Lunar Drug Store,4.99973,7.0
Mass General Merchandise and Supplies,4.9998,4.0
AMI EQUIPMENT SERVICES INC,5.0,28.0
"Assurance Controls Technologies Co., Inc.",5.0,14.0
EAZ Rice Trading,5.0,8.0
ALLCARD INC.,5.0,7.0
Sunny Point Hotel,5.0,245.0
MEDEV MEDICAL DEVICES CORPORATION,5.0,195.0
GIONA RICE TRADING OR ANA MARIE M. BENGCO,5.0,6.0
ERMA'S FOOD CATERING SERVICES,5.0,127.0
ACCUMAC,5.0,49.0
Synergy and Collaboration Distribution Inc.,5.0,4.0
TWO SEVEN FOOD STUFF CATERING SERVICES,5.0,12.0
PINWENCO ENTERPRISES,5.0,3.0
AMESCO DRUG CORPORATION,5.003,11.333333333333334
PHIL PAK IMPORT EXPORT & TRADING CORP,5.018,7.5
Jousenn Trading Company,5.01845,7.0
RKT MARKETING,5.0188552,1.0
MAGIC CLUB INC. (BINMALEY BRANCH),5.025918,7.0
MEDIX DEPOT,5.033,6.0
BEROVAN MARKETING,5.03914,53.0
JCC ENTERPRISES,5.04,85.0
GAY EATERY AND CATERING SERVICES,5.04,7.0
Microways Trading,5.065,7.0
Farmacia Carmina,5.07,7.0
MEDEXHEALTH CORP.,5.07,30.0
"ESCO UNIFIED SOLUTIONS, INC.",5.0763618,365.0
FCC Supermarket,5.0870932,6.0
PG FORWARDING SERVICES,5.096016,41.333333333333336
Rayos Trading & Gen. Mdse/Cabrera Drugstore & Med. Supply/G.V.Heraldo Rice Mill,5.0987,10.0
TJ GARMENTS,5.1,10.0
Jaypee Canvass Manufacturing,5.1,12.0
Jeepney Rentals/Laborers,5.1,11.0
Petermann General Merchandise,5.1017,2.5
Natrapharm Inc.,5.103,2.0
BARORO RICE & CORN STORE,5.103,1.0
Hardy Marketing Enterprises,5.10455,14.6
"SKYLIGHT HOTEL, INC.",5.13,7.0
Cabern Store,5.1384,6.333333333333333
"Fastlab Diagnostics & Medical Supplies,Medicotek,Inc",5.15,35.0
CEBU FEDCO MARKETING CORPORATION,5.16,17.0
VB-4 MEDICAL SUPPLIES & EQUIPMENT TRADING,5.1642,7.0
PROS Marketing,5.169565,9.0
Saren Bag Supply,5.1765,60.0
JONATHAN AND JANICE GROCERY,5.17704,2.0
RAGAS FARM,5.1825,30.0
FAS Diagnostic Group INC,5.19,31.0
diamed enterprise,5.193825,16.0
SGS PHILIPPINES INC.,5.1968,63.0
FAS Diagnostic Group,5.198,31.0
Armature Inc.,5.199768,9.0
Sejam General Enterprises,5.2,60.0
ARDENT MEDICARE ENTERPRISES INC,5.2032,10.0
Nesjoe Enterprises,5.20524,14.0
Vilma Apilado,5.2147,30.5
BG's Marketing,5.22,365.0
"Productivity Technology Services, Inc.",5.22898,364.0
JOY'S GENERAL MERCHANDISING,5.22961,50.75
MTTS Enterprise,5.234,30.0
TING'S FOODMART,5.2415,23.0
LAFFICO MPC,5.25,7.0
KML General Merchandise,5.25,62.0
"LIFELINK, INC.",5.25,10.0
"LABSOLUTIONS TECHNOLOGIES, INC.",5.25,18.0
R AND A DENTAL SUPPLY CENTER CO.,5.252903000000001,156.0
MEGACOM COMPUTER CENTRUM,5.2563,7.0
"UNILAB, INC.",5.26971,22.0
AGUA VISIONS TRADING,5.2755,5.5
MICROVASE PHARMACY,5.280255,21.0
D2 prints and creatives Corp,5.2824,62.0
RAYMART GENERAL MERCHANDISE,5.285658499999999,30.0
"Abitria Printing Press, Inc.",5.299925,12.333333333333334
PHILDRUG Distributor,5.3,3.0
Ikill Pests Incorporated,5.3,1.0
"ALTECH Vialab, Inc.",5.308,7.0
METCHELYN D. VILLANUEVA,5.3082,22.0
Blue Baux Marketing,5.3128344,7.0
Good Fortune General Merchandise,5.32075,1.0
Highland Lumber & Construction Supply Co. Inc,5.33015,9.0
"MARSMAN DRYDALE MEDICAL PRODUCTS, INC",5.34109,6.0
TECHNOSURE ELECTRONICS & ELECTRICAL SUPPLY & SERVICES,5.347,9.333333333333334
FDCC Enterprise,5.35868,3.0
ROMIES TRADING,5.37486,10.0
CATARMAN MAXEL DRUGSTORE,5.3754,30.0
Gerry Enterprises,5.4,7.0
Bluesensor Healthcare,5.4,22.0
ATJK GENERAL MERCHANDISE,5.4,7.0
"SCI WAREN, INC.",5.4,8.333333333333334
ALLEN STICK AND TRADING,5.4,44.0
Savepoint Plus Health & Wellness Consultancy Services,5.4025,7.0
QUEBY ENTERPRISES,5.411,7.0
LIFELINE DIAGNOSTICS SUPPLIES INC,5.4152,13.0
RO-ANNE'S FARM IMPLEMENT AND GLASSWARE,5.42124,7.0
"FERJAN HEALTHLINK PHILIPPINES, INC.",5.4315,10.0
PRO MEDIC PHARMA,5.44,15.0
Cebu Business Materials Trading Company Inc.,5.449,7.0
FMR Corporation,5.45,7.0
Hotel 105,5.45645,61.0
MEDLANE ENTERPRISES,5.4655,14.0
"TRENDS AND TECHNOLOGIES, INC.",5.46658,19.0
BAROBO GASOLINE STATION,5.468616999999999,14.0
GABIGROUP INC.,5.47,31.0
"NEGROS GT GROUP, INCORPORATED",5.4894,9.0
RAIK CONSTRUCTION & SUPPLY,5.4931161,54.0
J-Eva's Grocery,5.49442,8.0
ECOPETROL GASOLINE STATION,5.4960312,61.5
SHERJEN BAG MAKING,5.5,15.0
Arcorp Medical Enterprises,5.5,1.0
Prince Garden and AgriTrading,5.517,8.0
ANB PHARMACEUTICALS,5.51825,15.0
Genzen Pharmaceutical Trading,5.52,7.0
L.A. Enterprises,5.5244,4.0
Nean's Pharmacy,5.526675,123.0
Act Care Pharmacy,5.53763,15.0
RMA Construction and Supply,5.548031999999999,30.0
Margarito Austria,5.55,5.0
Heaven's Minimart,5.550715,15.0
"Merck, Inc.",5.5514508,5.0
PEMS PENSION AND RESTAURANT,5.5615,27.0
BUENAFLOR STORE,5.565,15.0
CENTURY PACIFIC FOOD INC.,5.58729,7.0
Hightop's Parmaceutical Trading,5.5893,4.0
LCJ General Merchandise,5.5971,14.0
Progressive Medical Corporation,5.6,192.0
Francen's Restaurant,5.6,141.0
JING THREE FOOD SUPPLY AND CATERING SERVICES,5.6,24.0
RAMGO INTERNATIONAL CORPORATION,5.6080875,48.0
ELFISHER Trading,5.6218330000000005,3.0
D'PARAGON AA CORP.,5.625,10.0
DOLF AND IDAH STORE,5.625,7.0
GAL-OD NOSNOSEN GENERAL MERCHANDISE,5.625,10.0
MG BEREÃ‘A TRADING,5.625,7.0
Prolife HealthCare System,5.63,61.0
F.E.G. Gen. Merchandise,5.636365999999999,14.4
PRIME LINK PHARMACEUTICAL,5.6475,6.0
Curamed Pharmacy,5.65615,20.666666666666668
Three N' One Enterprises,5.65975,14.0
Supercha Food Hauz,5.6655,40.5
DLCL Transport,5.666523100000001,11.0
Tan Sio Diong Medical Supplies,5.66845,14.0
BNRG CATERING,5.68925,7.5
YOLO BUILDERS CO.,5.695,30.0
M.A. POLINAR ENTERPRISES,5.69575,3.0
MCTEL ENGINEERING SERVICES,5.7,7.0
"FABRIMETRICS PHILS,INC.,",5.7,68.0
Jamychelle RTW & General Merchandise,5.705,14.0
Onyok Ting Farm Supply & General Merchandise,5.72565,7.0
KRISTIA COMPUTER SALES & SERVICES,5.733,1.0
Bensan General Mdse,5.7375,10.0
"LABSOLUTION TECHNOLOGIES, INC.",5.745,6.0
ZAR Catering Services,5.7545,12.44
"Cebu Far Eastern Drug, Inc.",5.757825,13.5
RIZAL POULTRY,5.76,9.0
PRIMESOLV TECHNOLOGIES CO.,5.775,16.0
GOLDEN GLASS AND ALUMINUM SUPPLY,5.78973,13.75
Glasdon Supply Inc.,5.80358,8.0
"CALAPAN GOLDEN EAGLE MART,INC",5.83154,3.0
Traveller's Gas Station,5.832,11.0
KIMRITCH MEDICAL SUPPLIES,5.8365,4.0
Dysecko Enterprises Corporation,5.85,7.0
LSV GLOBAL,5.85,68.0
ITS Science,5.86,54.0
RH KEMP ENTERPRISES,5.87216,40.666666666666664
BANTAYAN PETRON STATION,5.872859699999999,60.0
MCH CARMELA THE FOOD SHOP,5.876,14.0
YAMBING STORE,5.8775,8.0
SETH MEENA CATERING SERVICES,5.88,18.0
"ZURCS HOTEL, RESTAURANT AND EVENTS PLACE",5.88,43.0
TOP LIFEGEAR MARKETING,5.88,30.0
LEVINS INTERNATIONAL CORPORATION,5.88,60.0
AK Trading,5.883,11.5
ERSA PANADERO,5.898,22.0
FERNANDEZ BEACH AND GARDEN RESORT,5.9,7.0
MLRC ENTERPRISES,5.9,5.0
Complete Lines Trading,5.9093,3.5
Mario Z. Bantatua,5.92,5.0
McBoning Construction Engineering and Supplies,5.92061,18.8
D & S SCHOOL & OFFICE SUPPLIES & EQUIPMENT,5.925,6.0
"Air Swift Transport, Inc.",5.936,1.0
Cebu Surgical & Medical Enterprises,5.93805,15.0
O5 Tactical Apparel and General Merchandise,5.944,32.0
Ipil Shoppers Choice,5.94626,4.5
Diamed Enterprise,5.947,34.666666666666664
PG Marketing,5.996911999999999,12.0
BIOHEALTH DISTRIBUTOR,5.999,4.0
Zomedel Gas Center and Gen. Mdse.,6.0,30.0
IDS MEDICAL SYSTEMS PHILIPPINES INC.,6.0,13.0
SamErickaâ€™s Printing and Gen. Mdse.,6.0,2.0
HERMES METAL FURNITURE AND DESIGN,6.0,59.0
Pudtol ARB Multi Purpose cooperative,6.0,31.0
Northern Malubibit Farmers Irrigation Association Inc.,6.0,31.0
Jeicca Enterprises,6.0,31.0
BLUECHIP MARKETING,6.0,7.0
FAMOUS GOWN SALOON,6.0,5.0
Phonex Larrrel Agriventures,6.001968000000001,15.0
"LIBERTY AND SON'S LA UNION, INC",6.003,5.0
Felemina-Camay-an Farners Association,6.02184,18.0
INFINICOM COMPUTERS,6.03,21.5
23 and ME Pharmaceuticals Corporation,6.0405,19.0
Byro Pharma,6.04425,18.25
RC LIM MARKETING,6.04679,16.0
FARMACIA DE STA ANA,6.0743638,6.5
RICH RIVER COMMERCIAL,6.080768000000001,1.5
"Aj Agustin Enterprises, Inc.",6.08986,10.0
BUENA CASA HOSTERIA INC,6.095,17.0
ZENRIC TAILORING SHOP,6.1,7.0
Papapig Corporation,6.105,15.0
St. Almers Construction and Enterprise,6.1422966,5.0
E.R. Arlene's Farm Supply,6.14789,28.0
L. LIM ENTERPRISES,6.15,6.0
Clearbridge Medical Philippines Inc.,6.15,126.33333333333333
St. Michael's Enterprises,6.153,72.0
Bert's Restaurant,6.161145,13.666666666666666
Sentinel Plastic Manufacturing Corp.,6.1675,31.0
JRD Manufacturing Corporation,6.182,11.0
CYPERUS HOTEL,6.1824,30.0
Social Welfare Employees Multi-Purpose Cooperative(SWEMC),6.2328,35.0
ST. MICHAEL'S ENTERPRISES,6.23574,72.0
"NRW MARKETING & MANPOWER AGENCY, INC.",6.240012800000001,3.0
NATIONAL FOOD AUTHORITY ILOILO PROVINCIAL OFFICE,6.25,11.0
NUTRIFRESH CHICKEN TRADING CORPORATION,6.2656,7.0
"Jamer Asia Enterprises, Phils, Inc.",6.27,12.0
KRIZLENE FOOD SERVICES AND CATERING,6.2775,31.0
CARVI UPHOLSTERY SUPPLY,6.301995,9.333333333333334
RJ MED MARKETING,6.3117,10.0
MELCA'S CATERING SERVICES,6.32,47.0
Tina's Dried Fish and Egg Dealer,6.328,7.0
RGM ARANDIA GENERAL MERCHANDISE,6.3336,5.384615384615385
CASTELLANO DRUG,6.33496,5.5
Pablo S. Labasbas Const. Corp.,6.3568518,13.0
MEET TO U TRADING AND GEN. MDSE.,6.375,1.0
Procurement of Medicine,6.37974,122.0
"Getz Bros. Phils., Inc.",6.3972,365.0
ARZELIT TRADING,6.4,6.0
"GMA NETWORK, INC.",6.4,114.0
Negros Medical Trading,6.416,7.0
SNSN STORE,6.45,3.0
Glenje Marketing,6.45,3.0
DIVERSIFIED AGROCHEMICALS TRADINIG CORP.,6.45,7.0
"STERILAB, CO.",6.46,8.0
Zuelling Pharma Corp,6.4602,30.0
Jozeth Trading,6.4675,3.5
N&N SERVICE CENTER,6.4723,14.0
JILL CONSTRUCTION AND TRADING,6.481936999999999,5.0
Promedic Pharma,6.4849,13.666666666666666
DnJ DOULOS PHARMA AND DIAGNOSTIC DISTRIBUTOR,6.4902,15.0
Mahayahay Multi-Purpose Cooperative,6.4919,15.0
"Jaejr Electrical, Construction and Supply",6.499,12.0
Alz General Trading Inc.,6.4992,10.0
MEDSAVVY PHARMACEUTICAL TRADING,6.5,3.0
Fishcome Marketing,6.5,37.0
Dalikyat 24-HR Convenience Store,6.5,31.0
RAIN D GENERAL MERCHANDISE,6.5347,3.0
"FIL-ANASERVE, INC.",6.573,36.0
APS ENTERPRISES,6.575000999999999,12.5
MARQUEEZZA PHARMACY,6.5819,15.0
Hi-Precision Diagnostic,6.5826,244.0
BROADSTREET PHARMACEUTICALS,6.594,7.0
4M GENERAL MERCHANDISE,6.59966,7.857142857142857
JC Admiral Trading,6.620930700000001,6.0
ADS Medical and Laboratory Supplies,6.64589,30.5
ALBACOPA Federation of Cooperatives,6.65476,1.0
R-MINI MART & GENERAL MERCHANDISE,6.6558,7.5
Northeast Medical Trading,6.6576,16.0
Crispin Escalona,6.66,4.0
NEW LEGAZPI FRONTLINER ENTERPRISES,6.664,1.0
STO. NIÃ‘O FARMERS/CARP MULTI-PURPOSE COOPERATIVE,6.68,8.0
KAENEDETTE SARI-SARI STORE,6.683,7.0
KRISTEL PHARMACEUTICAL MARKETING,6.683484,17.0
JALTAM TRADE,6.695,14.0
Champion Commercial,6.69747,5.5
2R ENTERPRISES,6.7,14.0
CITY REST INN,6.7,105.33333333333333
L AND H MARKETING,6.70198,9.5
B.E.Y. Enterprise,6.7031996,23.714285714285715
"IDS Medical System Phils., Inc.",6.708,7.0
RICA DRUGS AND MEDICAL SUPPLY,6.709,15.0
"GRB Enterprises, Inc.",6.71814,48.5
NDM PHARMA AND MEDICAL SUPPLIES,6.719,3.0
RSG Marketing,6.72,8.0
Ponso's Eatery,6.72,60.0
"Lifeline Diagnostics Supplies,Inc,Scientific Biotech Specialties,Inc",6.7365,50.0
JO & BE MARKETING,6.74326,2.0
Ian Terry's Merchandise,6.75,30.0
Grew hired Wood and Furniture,6.75,9.0
RENSIS,6.76583,128.0
Jenarjoy Enterprises,6.76728,4.0
E.S. PRINT MEDIA INC.,6.7761707,17.0
MJI's ENTERPRISES,6.77905,12.5
SQJR TRADING,6.779996,3.0
JYD ENTERPRISES,6.788,23.5
"ROSTECH PHILIPPINES, INC.",6.8,37.0
PRIMABY ENTERPRISE CORPORATION,6.8,11.0
AC/DC COMPONENT PART SALES & SERVICE CENTER,6.8,23.0
B.Braun Medical Supplies Inc.,6.8,15.0
EXPO HOME DEPOT,6.8052679000000005,14.0
Palawan Poultry & General Merchandise,6.81256,8.0
3J Medical Supplies,6.81585,12.833333333333334
F and N ENTERPRISES and GENERAL MERCHANDIZE,6.849657199999999,5.5
SOUTH CARE COSMETICS MANUFACTURING INC.,6.85,7.0
CRESENCIA AMISTOSO,6.8563,7.0
LAY Medical Enterprises,6.85906,13.0
JORDA TRADING,6.8805,10.0
Sara Caltex Service Station,6.88495,7.0
MN Macato Builders,6.89906,42.0
BDC Medical Equipment Supplies and Services,6.9,9.0
A and M Agribusiness Enterprise,6.9136,3.0
Killaz General Merchandise,6.922473,18.0
CARDORREE INC.,6.93,14.0
Aces Philproducers Corporation,6.93,24.0
Amirjain Store / Amirjain A. Abdulcadir,6.9502,31.0
AMCO PHARMACY,6.954,31.0
G Chemtrading Corp.,6.96,7.0
CHEERS CORPORATION,6.96075,14.0
NOE'S BUILDERS,6.9692,61.0
R.S. YARZA TRADING,6.986,7.0
"Pro-poor Pharmaceutical, Drughaus, Medical and Dental Supplies",6.99,10.0
NASAKIAH TRADING,6.99408,6.25
A. Montalbo Trading and Construction,6.99738,2.6666666666666665
JMina Catering Services and Gowns,6.9975,6.2
FABRIMETRICS PHILS. INC.,7.0,10.0
Vizcarra Pharmaceutical,7.0,30.0
SCIENTIFIC BIOTECH SPECIALTIES,7.0,14.0
"Scientific Biotech Specialties,Inc",7.0,6.0
"Wellness Pro, Inc.",7.0,48.0
PHARMACEUTICA FILIPINA DE VISAYAS,7.0085,8.0
JP CATERING SERVICES,7.0202,16.0
Amorolfo Marketing,7.025,4.0
ANISRA MARKETING,7.0335,23.75
E. Dacpano Engineering and Engine Rebuilder,7.050623999999999,13.0
CALVIN REFRESHMENT & CATERING SERVICES,7.056,31.0
Corbridge Group Phils Inc.,7.076,30.0
MARIANNE'S GENERAL MERCHANDIZE,7.07897,17.0
Chemvest Commercial Trading,7.0895,6.0
Rodama Agrivet Supplies,7.0932333,46.0
KFM General Merchandise,7.09458,5.6
Berovan Marketing,7.10857,13.25
RYY Corporation,7.1139,9.5
ANGELES GARDEN & RESTO BAR,7.12,92.0
RZD COMMERCIAL,7.125,7.0
CHEMVALLEY RESOURCES INC,7.13,15.0
GRANVILLE SUPPLYCHAIN MGMT CORP.,7.136232,1.0
GINALYN P. REGIO GROCERY STORE,7.15,1.0
Marnel General Merchandise,7.15806,38.5
Community Resources of Tacurong City Multi - Purpose Cooperative,7.176,45.0
G & C Yason General Merchandise,7.1915,13.333333333333334
PS DBM,7.192460400000001,45.0
HealthRush Enterprises,7.2,31.0
XIAN DAVIN ENTERPRISES,7.20266,30.0
Mercogene Pharmacy & Gen. Mdse.,7.20695,7.0
"SYSTEMS CONTROLS INSTRUMENTATIO NS, INC.",7.217,6.0
Blessed St. John Pharmaceuticals and General Merchandise,7.2405,21.0
RB PCSAVER TRADING,7.2425,5.0
KUSINAH CATERING SERVICES,7.245,1.0
CASAL SARI SARI STORE,7.245,1.0
Shady Trading,7.25,30.0
YANTRADE HARDWARE,7.2565125,4.333333333333333
Mt. Zion Scientific Inc.,7.26,14.0
FINE ADVENTURES TICKETING AND GENERAL MERCHANDISE,7.264,14.0
BNO Medlab Trading,7.269,1.5
LGT Trading and General Merchandise,7.27035,10.25
Integrated Waste Management Inc.,7.28,37.0
Intelliserve Trading Incorporated,7.2929,21.0
"Toolkit, Inc.",7.296307199999999,365.0
Farmtech Agriland Corporation,7.297,7.0
FL2 LUMBER & CONSTRUCTION SUPPLY,7.2989408,8.333333333333334
Solid Source Trading Corporation,7.3,7.0
L-ZAY Medical Enterprise,7.31918,12.666666666666666
JFO Construction,7.3229362,25.0
MANGABUL SEED GROWERS MARKETING COOPERATIVE,7.325,3.0
AQUARIAN PHARMA,7.33932,31.0
RICHMART ENTERPRISES,7.34101,7.0
THAN-THAN HARDWARE & GENERAL MERCHANDISE,7.378399,2.0
Macor Merchandising & Services,7.380482,11.5
LINDA'S DEPT. STORE,7.3839445999999995,3.0
SOUTHERN LAGUNA TRANSPORT SERVICE COOPERATIVE,7.389,12.0
Pest Science Corporation,7.4,3.0
Danilo Galicia,7.4,5.0
EAH MEDICINE & MEDICAL SUPPLIES MARKETING,7.4135,3.5
TAGUM CITY EMPLOYEES MULTIPURPOSE COOPERATIV,7.4212,8.0
"Corbridge Group Phil., Inc.",7.4298,365.0
Lucky Sierra Alba Meat Retailing,7.444395999999999,8.666666666666666
Micaella and Mikyla Variety Store,7.47,6.0
Kenmart Marketing,7.4751233,7.0
IN-VITRO CLINICAL SYSTEMS,7.48001,14.0
"FK ENTERPRISES, INC.",7.48493,7.0
Lycs Builders and Trading,7.4905408,15.0
MARJAND CONSTRUCTION,7.5,14.0
PRC Marketing,7.5,5.0
HOTELINDA SUITES,7.5,18.666666666666668
Shan dau Enterprise,7.5001,27.0
DUKHEA CONSTRUCTION,7.508153,22.25
"FIL-ACCENT RESOURCES MARKETING, INC.",7.51,7.0
SOJOURN GENERAL MERCHANDISE,7.5128,7.0
Nale Construction,7.54815,45.0
